IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8
Jellyfish_Choice	DarkRed_Choice	Spade_Choice	Lock_Choice	LeftArrow_Choice	DarkTurquiose_Choice	Chevron_Choice	LightYellow_Choice
DarkGray_Probe	Bar_Probe	Gem_Probe	DarkRed_Probe	Rabbit_Probe	Jellyfish_Probe	LightPurple_Probe	Bar_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
DarkGray_Choice	Bar_Choice	Gem_Choice	DarkRed_Choice	Rabbit_Choice	Jellyfish_Choice	LightPurple_Choice	Bar_Choice
Venn_Probe	LeftArrow_Probe	LightTurquiose_Probe	Crowbar_Probe	LightRed_Probe	Hat_Probe	Venn_Probe	Jellyfish_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Venn_Choice	LeftArrow_Choice	LightTurquiose_Choice	Crowbar_Choice	LightRed_Choice	Hat_Choice	Venn_Choice	Jellyfish_Choice
House_Probe	DarkPurple_Probe	Puzzle_Probe	Puzzle_Probe	Crowbar_Probe	DarkYellow_Probe	Stickyhand_Probe	DarkRed_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
House_Choice	DarkPurple_Choice	Puzzle_Choice	Puzzle_Choice	Crowbar_Choice	DarkYellow_Choice	Stickyhand_Choice	DarkRed_Choice
LightTurquiose_Probe	Diamond_Probe	Star_Probe	LightPurple_Probe	Spike_Probe	Heart_Probe	LightGreen_Probe	Hourglass_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose_Choice	Diamond_Choice	Star_Choice	LightPurple_Choice	Spike_Choice	Heart_Choice	LightGreen_Choice	Hourglass_Choice
Spike_Probe	Pacman_Probe	DarkPurple_Probe	House_Probe	LightGray_Probe	Rabbit_Probe	Bar_Probe	Ditto_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Spike_Choice	Pacman_Choice	DarkPurple_Choice	House_Choice	LightGray_Choice	Rabbit_Choice	Bar_Choice	Ditto_Choice
Star_Probe	LightGreen_Probe	UpArrow_Probe	Nail_Probe	Jellyfish_Probe	LightGreen_Probe	Pacman_Probe	DarkGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Star_Choice	LightGreen_Choice	UpArrow_Choice	Nail_Choice	Jellyfish_Choice	LightGreen_Choice	Pacman_Choice	DarkGreen_Choice
LightRed_Probe	UpArrow_Probe	Ditto_Probe	LightBlue_Probe	Lock_Probe	Stickyhand_Probe	LightBlue_Probe	Nail_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
LightRed_Choice	UpArrow_Choice	Ditto_Choice	LightBlue_Choice	Lock_Choice	Stickyhand_Choice	LightBlue_Choice	Nail_Choice
Lock_Probe	Tie_Probe	DarkGray_Probe	Chevron_Probe	DarkPurple_Probe	Bar_Probe	Spike_Probe	Bell_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Lock_Choice	Tie_Choice	DarkGray_Choice	Chevron_Choice	DarkPurple_Choice	Bar_Choice	Spike_Choice	Bell_Choice
Gem_Probe	DarkGray_Probe	Nail_Probe	Spike_Probe	Tie_Probe	LightPurple_Probe	Crowbar_Probe	DarkTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Gem_Choice	DarkGray_Choice	Nail_Choice	Spike_Choice	Tie_Choice	LightPurple_Choice	Crowbar_Choice	DarkTurquiose_Choice
DarkPurple_Probe	Dodecagon_Probe	Stickyhand_Probe	LightRed_Probe	UpArrow_Probe	Chevron_Probe	LightYellow_Probe	Rabbit_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
DarkPurple_Choice	Dodecagon_Choice	Stickyhand_Choice	LightRed_Choice	UpArrow_Choice	Chevron_Choice	LightYellow_Choice	Rabbit_Choice
Diamond_Probe	House_Probe	DarkBlue_Probe	Pacman_Probe	LightYellow_Probe	Puzzle_Probe	Nail_Probe	Heart_Probe
