IMA7	IMA8	IMA9	IMA10	IMA11	IMA12
House_Choice	LightTurquiose_Choice	UpArrow_Choice	Nail_Choice	Crowbar_Choice	LightYellow_Choice
LightRed_Probe	UpArrow_Probe	Pacman_Probe	DarkRed_Probe	Sawblade_Probe	Acorn_Probe
LightRed_Probe	UpArrow_Probe	Pacman_Probe	DarkRed_Probe	Sawblade_Probe	Acorn_Probe
LightRed_Choice	UpArrow_Choice	Pacman_Choice	DarkRed_Choice	Sawblade_Choice	Acorn_Choice
Bar_Probe	Star_Probe	LightTurquiose_Probe	Stickyhand_Probe	DarkGray_Probe	Nail_Probe
Bar_Probe	Star_Probe	LightTurquiose_Probe	Stickyhand_Probe	DarkGray_Probe	Nail_Probe
Bar_Choice	Star_Choice	LightTurquiose_Choice	Stickyhand_Choice	DarkGray_Choice	Nail_Choice
Jellyfish_Probe	DarkRed_Probe	Hourglass_Probe	Hourglass_Probe	Stickyhand_Probe	LightGreen_Probe
Jellyfish_Probe	DarkRed_Probe	Hourglass_Probe	Hourglass_Probe	Stickyhand_Probe	LightGreen_Probe
Jellyfish_Choice	DarkRed_Choice	Hourglass_Choice	Hourglass_Choice	Stickyhand_Choice	LightGreen_Choice
DarkBlue_Probe	Dodecagon_Probe	Crowbar_Probe	LightGreen_Probe	Nail_Probe	Ditto_Probe
DarkBlue_Probe	Dodecagon_Probe	Crowbar_Probe	LightGreen_Probe	Nail_Probe	Ditto_Probe
DarkBlue_Choice	Dodecagon_Choice	Crowbar_Choice	LightGreen_Choice	Nail_Choice	Ditto_Choice
Sawblade_Probe	Pacman_Probe	DarkGreen_Probe	Tie_Probe	DarkGreen_Probe	Diamond_Probe
Sawblade_Probe	Pacman_Probe	DarkGreen_Probe	Tie_Probe	DarkGreen_Probe	Diamond_Probe
Sawblade_Choice	Pacman_Choice	DarkGreen_Choice	Tie_Choice	DarkGreen_Choice	Diamond_Choice
Star_Probe	DarkTurquiose_Probe	Rabbit_Probe	Bar_Probe	Pacman_Probe	DarkRed_Probe
Star_Probe	DarkTurquiose_Probe	Rabbit_Probe	Bar_Probe	Pacman_Probe	DarkRed_Probe
Star_Choice	DarkTurquiose_Choice	Rabbit_Choice	Bar_Choice	Pacman_Choice	DarkRed_Choice
LightYellow_Probe	Rabbit_Probe	Jellyfish_Probe	DarkGray_Probe	Diamond_Probe	Gem_Probe
LightYellow_Probe	Rabbit_Probe	Jellyfish_Probe	DarkGray_Probe	Diamond_Probe	Gem_Probe
LightYellow_Choice	Rabbit_Choice	Jellyfish_Choice	DarkGray_Choice	Diamond_Choice	Gem_Choice
Nail_Probe	Tie_Probe	LightRed_Probe	Star_Probe	DarkPurple_Probe	Dodecagon_Probe
Nail_Probe	Tie_Probe	LightRed_Probe	Star_Probe	DarkPurple_Probe	Dodecagon_Probe
Nail_Choice	Tie_Choice	LightRed_Choice	Star_Choice	DarkPurple_Choice	Dodecagon_Choice
Acorn_Probe	LightPurple_Probe	Spike_Probe	Spade_Probe	LeftArrow_Probe	DarkYellow_Probe
Acorn_Probe	LightPurple_Probe	Spike_Probe	Spade_Probe	LeftArrow_Probe	DarkYellow_Probe
Acorn_Choice	LightPurple_Choice	Spike_Choice	Spade_Choice	LeftArrow_Choice	DarkYellow_Choice
LightGreen_Probe	Hourglass_Probe	House_Probe	LightBlue_Probe	Lock_Probe	Tie_Probe
LightGreen_Probe	Hourglass_Probe	House_Probe	LightBlue_Probe	Lock_Probe	Tie_Probe
LightGreen_Choice	Hourglass_Choice	House_Choice	LightBlue_Choice	Lock_Choice	Tie_Choice
Hat_Probe	LeftArrow_Probe	DarkBlue_Probe	Gem_Probe	LightPurple_Probe	Rabbit_Probe
Hat_Probe	LeftArrow_Probe	DarkBlue_Probe	Gem_Probe	LightPurple_Probe	Rabbit_Probe
Hat_Choice	LeftArrow_Choice	DarkBlue_Choice	Gem_Choice	LightPurple_Choice	Rabbit_Choice
Bell_Probe	DarkGray_Probe	Diamond_Probe	UpArrow_Probe	Gem_Probe	LightRed_Probe
Bell_Probe	DarkGray_Probe	Diamond_Probe	UpArrow_Probe	Gem_Probe	LightRed_Probe
Bell_Choice	DarkGray_Choice	Diamond_Choice	UpArrow_Choice	Gem_Choice	LightRed_Choice
DarkRed_Probe	Diamond_Probe	LeftArrow_Probe	LightGray_Probe	Venn_Probe	Heart_Probe
DarkRed_Probe	Diamond_Probe	LeftArrow_Probe	LightGray_Probe	Venn_Probe	Heart_Probe
DarkRed_Choice	Diamond_Choice	LeftArrow_Choice	LightGray_Choice	Venn_Choice	Heart_Choice
Venn_Probe	Heart_Probe	DarkGray_Probe	Crowbar_Probe	DarkYellow_Probe	Spade_Probe
