IMA1	IMA2	IMA3	IMA4	IMA5	IMA6
Pacman_Choice	LightGreen_Choice	Diamond_Choice	Rabbit_Choice	Heart_Choice	DarkBlue_Choice
DarkBlue_Probe	Bar_Probe	Jellyfish_Probe	DarkRed_Probe	Diamond_Probe	LeftArrow_Probe
DarkBlue_Choice	Bar_Choice	Jellyfish_Choice	DarkRed_Choice	Diamond_Choice	LeftArrow_Choice
Hat_Probe	Star_Probe	DarkTurquiose_Probe	Tie_Probe	DarkPurple_Probe	Bar_Probe
Hat_Choice	Star_Choice	DarkTurquiose_Choice	Tie_Choice	DarkPurple_Choice	Bar_Choice
Bell_Probe	LightGray_Probe	UpArrow_Probe	Spade_Probe	Crowbar_Probe	LightGray_Probe
Bell_Choice	LightGray_Choice	UpArrow_Choice	Spade_Choice	Crowbar_Choice	LightGray_Choice
DarkTurquiose_Probe	Sawblade_Probe	Chevron_Probe	DarkBlue_Probe	UpArrow_Probe	Ditto_Probe
DarkTurquiose_Choice	Sawblade_Choice	Chevron_Choice	DarkBlue_Choice	UpArrow_Choice	Ditto_Choice
UpArrow_Probe	Heart_Probe	LightYellow_Probe	Bell_Probe	LightYellow_Probe	Spade_Probe
UpArrow_Choice	Heart_Choice	LightYellow_Choice	Bell_Choice	LightYellow_Choice	Spade_Choice
House_Probe	LightYellow_Probe	Venn_Probe	Diamond_Probe	Stickyhand_Probe	LightPurple_Probe
House_Choice	LightYellow_Choice	Venn_Choice	Diamond_Choice	Stickyhand_Choice	LightPurple_Choice
LightPurple_Probe	UpArrow_Probe	Pacman_Probe	DarkYellow_Probe	Dodecagon_Probe	Tie_Probe
LightPurple_Choice	UpArrow_Choice	Pacman_Choice	DarkYellow_Choice	Dodecagon_Choice	Tie_Choice
Dodecagon_Probe	Tie_Probe	LightBlue_Probe	Pacman_Probe	LightTurquiose_Probe	Hourglass_Probe
Dodecagon_Choice	Tie_Choice	LightBlue_Choice	Pacman_Choice	LightTurquiose_Choice	Hourglass_Choice
Chevron_Probe	DarkGray_Probe	Spike_Probe	Bar_Probe	Gem_Probe	LightYellow_Probe
Chevron_Choice	DarkGray_Choice	Spike_Choice	Bar_Choice	Gem_Choice	LightYellow_Choice
DarkYellow_Probe	Spike_Probe	Ditto_Probe	LightRed_Probe	Spike_Probe	Pacman_Probe
DarkYellow_Choice	Spike_Choice	Ditto_Choice	LightRed_Choice	Spike_Choice	Pacman_Choice
Nail_Probe	Gem_Probe	DarkGreen_Probe	Star_Probe	DarkRed_Probe	Hat_Probe
Nail_Choice	Gem_Choice	DarkGreen_Choice	Star_Choice	DarkRed_Choice	Hat_Choice
Heart_Probe	LightPurple_Probe	Rabbit_Probe	Lock_Probe	Jellyfish_Probe	DarkGreen_Probe
Heart_Choice	LightPurple_Choice	Rabbit_Choice	Lock_Choice	Jellyfish_Choice	DarkGreen_Choice
LightRed_Probe	Nail_Probe	Heart_Probe	DarkGray_Probe	Bar_Probe	Chevron_Probe
LightRed_Choice	Nail_Choice	Heart_Choice	DarkGray_Choice	Bar_Choice	Chevron_Choice
Venn_Probe	LeftArrow_Probe	DarkPurple_Probe	Crowbar_Probe	DarkTurquiose_Probe	UpArrow_Probe
Venn_Choice	LeftArrow_Choice	DarkPurple_Choice	Crowbar_Choice	DarkTurquiose_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
