IMA1	IMA5	IMA6	IMA2	IMA3	IMA4
Dodecagon_Probe	Nail_Probe	DarkBlue_Probe	DarkTurquiose_Probe	Hat_Probe	Hat_Probe
Dodecagon_Probe	Nail_Probe	DarkBlue_Probe	DarkTurquiose_Probe	Hat_Probe	Hat_Probe
Dodecagon_Probe	Nail_Probe	DarkBlue_Probe	DarkTurquiose_Probe	Hat_Probe	Hat_Probe
Dodecagon_Choice	Nail_Choice	DarkBlue_Choice	DarkTurquiose_Choice	Hat_Choice	Hat_Choice
Dodecagon_Probe	Rabbit_Probe	LightTurquiose_Probe	Venn_Probe	DarkTurquiose_Probe	DarkYellow_Probe
Dodecagon_Probe	Rabbit_Probe	LightTurquiose_Probe	Venn_Probe	DarkTurquiose_Probe	DarkYellow_Probe
Dodecagon_Probe	Rabbit_Probe	LightTurquiose_Probe	Venn_Probe	DarkTurquiose_Probe	DarkYellow_Probe
Dodecagon_Choice	Rabbit_Choice	LightTurquiose_Choice	Venn_Choice	DarkTurquiose_Choice	DarkYellow_Choice
LightGray_Probe	LightBlue_Probe	LightBlue_Probe	DarkGray_Probe	Hat_Probe	Spike_Probe
LightGray_Probe	LightBlue_Probe	LightBlue_Probe	DarkGray_Probe	Hat_Probe	Spike_Probe
LightGray_Probe	LightBlue_Probe	LightBlue_Probe	DarkGray_Probe	Hat_Probe	Spike_Probe
LightGray_Choice	LightBlue_Choice	LightBlue_Choice	DarkGray_Choice	Hat_Choice	Spike_Choice
Venn_Probe	LightBlue_Probe	Sawblade_Probe	Dodecagon_Probe	Hat_Probe	DarkTurquiose_Probe
Venn_Probe	LightBlue_Probe	Sawblade_Probe	Dodecagon_Probe	Hat_Probe	DarkTurquiose_Probe
Venn_Probe	LightBlue_Probe	Sawblade_Probe	Dodecagon_Probe	Hat_Probe	DarkTurquiose_Probe
Venn_Choice	LightBlue_Choice	Sawblade_Choice	Dodecagon_Choice	Hat_Choice	DarkTurquiose_Choice
DarkYellow_Probe	Spade_Probe	LightTurquiose_Probe	Spike_Probe	Spike_Probe	Dodecagon_Probe
DarkYellow_Probe	Spade_Probe	LightTurquiose_Probe	Spike_Probe	Spike_Probe	Dodecagon_Probe
DarkYellow_Probe	Spade_Probe	LightTurquiose_Probe	Spike_Probe	Spike_Probe	Dodecagon_Probe
DarkYellow_Choice	Spade_Choice	LightTurquiose_Choice	Spike_Choice	Spike_Choice	Dodecagon_Choice
DarkTurquiose_Probe	Spade_Probe	Sawblade_Probe	DarkYellow_Probe	Venn_Probe	DarkTurquiose_Probe
DarkTurquiose_Probe	Spade_Probe	Sawblade_Probe	DarkYellow_Probe	Venn_Probe	DarkTurquiose_Probe
DarkTurquiose_Probe	Spade_Probe	Sawblade_Probe	DarkYellow_Probe	Venn_Probe	DarkTurquiose_Probe
DarkTurquiose_Choice	Spade_Choice	Sawblade_Choice	DarkYellow_Choice	Venn_Choice	DarkTurquiose_Choice
DarkTurquiose_Probe	Rabbit_Probe	Sawblade_Probe	Hat_Probe	Venn_Probe	DarkGray_Probe
DarkTurquiose_Probe	Rabbit_Probe	Sawblade_Probe	Hat_Probe	Venn_Probe	DarkGray_Probe
DarkTurquiose_Probe	Rabbit_Probe	Sawblade_Probe	Hat_Probe	Venn_Probe	DarkGray_Probe
DarkTurquiose_Choice	Rabbit_Choice	Sawblade_Choice	Hat_Choice	Venn_Choice	DarkGray_Choice
LightGray_Probe	LightPurple_Probe	LightBlue_Probe	Dodecagon_Probe	Dodecagon_Probe	LightGray_Probe
LightGray_Probe	LightPurple_Probe	LightBlue_Probe	Dodecagon_Probe	Dodecagon_Probe	LightGray_Probe
LightGray_Probe	LightPurple_Probe	LightBlue_Probe	Dodecagon_Probe	Dodecagon_Probe	LightGray_Probe
LightGray_Choice	LightPurple_Choice	LightBlue_Choice	Dodecagon_Choice	Dodecagon_Choice	LightGray_Choice
LightGray_Probe	Sawblade_Probe	Rabbit_Probe	DarkYellow_Probe	DarkGray_Probe	Spike_Probe
LightGray_Probe	Sawblade_Probe	Rabbit_Probe	DarkYellow_Probe	DarkGray_Probe	Spike_Probe
LightGray_Probe	Sawblade_Probe	Rabbit_Probe	DarkYellow_Probe	DarkGray_Probe	Spike_Probe
LightGray_Choice	Sawblade_Choice	Rabbit_Choice	DarkYellow_Choice	DarkGray_Choice	Spike_Choice
Dodecagon_Probe	DarkBlue_Probe	Rabbit_Probe	LightGray_Probe	Venn_Probe	Spike_Probe
Dodecagon_Probe	DarkBlue_Probe	Rabbit_Probe	LightGray_Probe	Venn_Probe	Spike_Probe
Dodecagon_Probe	DarkBlue_Probe	Rabbit_Probe	LightGray_Probe	Venn_Probe	Spike_Probe
Dodecagon_Choice	DarkBlue_Choice	Rabbit_Choice	LightGray_Choice	Venn_Choice	Spike_Choice
Venn_Probe	LightPurple_Probe	LightTurquiose_Probe	DarkGray_Probe	DarkTurquiose_Probe	LightGray_Probe
Venn_Probe	LightPurple_Probe	LightTurquiose_Probe	DarkGray_Probe	DarkTurquiose_Probe	LightGray_Probe
