IMA1	IMA2
DarkTurquiose_Probe	Hourglass_Probe
Background	Background
DarkTurquiose_Choice	Hourglass_Choice
Sawblade_Probe	DarkGreen_Probe
Background	Background
Sawblade_Choice	DarkGreen_Choice
DarkRed_Probe	Rabbit_Probe
Background	Background
DarkRed_Choice	Rabbit_Choice
Diamond_Probe	LightRed_Probe
Background	Background
Diamond_Choice	LightRed_Choice
DarkGray_Probe	Sawblade_Probe
Background	Background
DarkGray_Choice	Sawblade_Choice
Puzzle_Probe	LightTurquiose_Probe
Background	Background
Puzzle_Choice	LightTurquiose_Choice
LightTurquiose_Probe	Dodecagon_Probe
Background	Background
LightTurquiose_Choice	Dodecagon_Choice
Nail_Probe	DarkBlue_Probe
Background	Background
Nail_Choice	DarkBlue_Choice
LightGreen_Probe	Spike_Probe
Background	Background
LightGreen_Choice	Spike_Choice
Dodecagon_Probe	LightYellow_Probe
Background	Background
Dodecagon_Choice	LightYellow_Choice
LightRed_Probe	UpArrow_Probe
Background	Background
LightRed_Choice	UpArrow_Choice
Spike_Probe	DarkTurquiose_Probe
Background	Background
Spike_Choice	DarkTurquiose_Choice
LightYellow_Probe	Puzzle_Probe
Background	Background
LightYellow_Choice	Puzzle_Choice
Spade_Probe	DarkRed_Probe
Background	Background
Spade_Choice	DarkRed_Choice
DarkPurple_Probe	Diamond_Probe
Background	Background
DarkPurple_Choice	Diamond_Choice
Bar_Probe	DarkGray_Probe
Background	Background
Bar_Choice	DarkGray_Choice
LightPurple_Probe	Spade_Probe
Background	Background
LightPurple_Choice	Spade_Choice
UpArrow_Probe	LightBlue_Probe
Background	Background
UpArrow_Choice	LightBlue_Choice
DarkBlue_Probe	Nail_Probe
Background	Background
DarkBlue_Choice	Nail_Choice
Rabbit_Probe	LightPurple_Probe
Background	Background
Rabbit_Choice	LightPurple_Choice
DarkGreen_Probe	Lock_Probe
Background	Background
DarkGreen_Choice	Lock_Choice
Venn_Probe	DarkPurple_Probe
Background	Background
Venn_Choice	DarkPurple_Choice
LightBlue_Probe	Venn_Probe
Background	Background
LightBlue_Choice	Venn_Choice
Hourglass_Probe	DarkYellow_Probe
Background	Background
Hourglass_Choice	DarkYellow_Choice
LightGray_Probe	Bar_Probe
Background	Background
LightGray_Choice	Bar_Choice
Lock_Probe	LightGreen_Probe
Background	Background
Lock_Choice	LightGreen_Choice
DarkYellow_Probe	Hat_Probe
Background	Background
DarkYellow_Choice	Hat_Choice
Hat_Probe	LightGray_Probe
Background	Background
Hat_Choice	LightGray_Choice
Background	Background
Background	Background
Background	Background
Background	Background
