IMA10	IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
Lock_Probe	Bar_Probe	Star_Probe	DarkYellow_Probe	Star_Probe	DarkRed_Probe	Spike_Probe	Hourglass_Probe	Heart_Probe	Crowbar_Probe	DarkRed_Probe	Nail_Probe	Sawblade_Probe	Chevron_Probe	LightRed_Probe	Star_Probe	House_Probe	DarkYellow_Probe
Lock_Choice	Bar_Choice	Star_Choice	DarkYellow_Choice	Star_Choice	DarkRed_Choice	Spike_Choice	Hourglass_Choice	Heart_Choice	Crowbar_Choice	DarkRed_Choice	Nail_Choice	Sawblade_Choice	Chevron_Choice	LightRed_Choice	Star_Choice	House_Choice	DarkYellow_Choice
LeftArrow_Probe	DarkTurquiose_Probe	Bar_Probe	Pacman_Probe	DarkPurple_Probe	Puzzle_Probe	Jellyfish_Probe	LightBlue_Probe	Venn_Probe	DarkRed_Probe	Puzzle_Probe	Jellyfish_Probe	DarkGreen_Probe	Hat_Probe	Crowbar_Probe	DarkRed_Probe	LightRed_Probe	UpArrow_Probe
LeftArrow_Choice	DarkTurquiose_Choice	Bar_Choice	Pacman_Choice	DarkPurple_Choice	Puzzle_Choice	Jellyfish_Choice	LightBlue_Choice	Venn_Choice	DarkRed_Choice	Puzzle_Choice	Jellyfish_Choice	DarkGreen_Choice	Hat_Choice	Crowbar_Choice	DarkRed_Choice	LightRed_Choice	UpArrow_Choice
LightRed_Probe	Gem_Probe	DarkYellow_Probe	UpArrow_Probe	Venn_Probe	Crowbar_Probe	LightRed_Probe	Gem_Probe	LightGreen_Probe	Bar_Probe	Star_Probe	LightRed_Probe	Heart_Probe	LightRed_Probe	Spike_Probe	Hourglass_Probe	Spade_Probe	House_Probe
LightRed_Choice	Gem_Choice	DarkYellow_Choice	UpArrow_Choice	Venn_Choice	Crowbar_Choice	LightRed_Choice	Gem_Choice	LightGreen_Choice	Bar_Choice	Star_Choice	LightRed_Choice	Heart_Choice	LightRed_Choice	Spike_Choice	Hourglass_Choice	Spade_Choice	House_Choice
Sawblade_Probe	Puzzle_Probe	House_Probe	DarkBlue_Probe	Crowbar_Probe	LightBlue_Probe	Lock_Probe	Bar_Probe	Star_Probe	LeftArrow_Probe	DarkGreen_Probe	Hat_Probe	Lock_Probe	Acorn_Probe	LightYellow_Probe	Ditto_Probe	Pacman_Probe	DarkPurple_Probe
Sawblade_Choice	Puzzle_Choice	House_Choice	DarkBlue_Choice	Crowbar_Choice	LightBlue_Choice	Lock_Choice	Bar_Choice	Star_Choice	LeftArrow_Choice	DarkGreen_Choice	Hat_Choice	Lock_Choice	Acorn_Choice	LightYellow_Choice	Ditto_Choice	Pacman_Choice	DarkPurple_Choice
Ditto_Probe	DarkYellow_Probe	Spike_Probe	Acorn_Probe	LightPurple_Probe	Lock_Probe	Ditto_Probe	DarkBlue_Probe	Lock_Probe	LightYellow_Probe	UpArrow_Probe	House_Probe	DarkPurple_Probe	Dodecagon_Probe	Ditto_Probe	DarkGray_Probe	DarkGreen_Probe	Lock_Probe
Ditto_Choice	DarkYellow_Choice	Spike_Choice	Acorn_Choice	LightPurple_Choice	Lock_Choice	Ditto_Choice	DarkBlue_Choice	Lock_Choice	LightYellow_Choice	UpArrow_Choice	House_Choice	DarkPurple_Choice	Dodecagon_Choice	Ditto_Choice	DarkGray_Choice	DarkGreen_Choice	Lock_Choice
LightGreen_Probe	Chevron_Probe	DarkGreen_Probe	Bar_Probe	Bar_Probe	Ditto_Probe	DarkPurple_Probe	Tie_Probe	DarkGreen_Probe	Dodecagon_Probe	Ditto_Probe	DarkGray_Probe	Acorn_Probe	DarkPurple_Probe	Nail_Probe	Rabbit_Probe	Puzzle_Probe	Star_Probe
LightGreen_Choice	Chevron_Choice	DarkGreen_Choice	Bar_Choice	Bar_Choice	Ditto_Choice	DarkPurple_Choice	Tie_Choice	DarkGreen_Choice	Dodecagon_Choice	Ditto_Choice	DarkGray_Choice	Acorn_Choice	DarkPurple_Choice	Nail_Choice	Rabbit_Choice	Puzzle_Choice	Star_Choice
Hat_Probe	Rabbit_Probe	Jellyfish_Probe	LightPurple_Probe	LeftArrow_Probe	LightTurquiose_Probe	Hat_Probe	Spade_Probe	Jellyfish_Probe	Tie_Probe	DarkGray_Probe	Puzzle_Probe	UpArrow_Probe	Crowbar_Probe	DarkTurquiose_Probe	Gem_Probe	Chevron_Probe	LightGreen_Probe
Hat_Choice	Rabbit_Choice	Jellyfish_Choice	LightPurple_Choice	LeftArrow_Choice	LightTurquiose_Choice	Hat_Choice	Spade_Choice	Jellyfish_Choice	Tie_Choice	DarkGray_Choice	Puzzle_Choice	UpArrow_Choice	Crowbar_Choice	DarkTurquiose_Choice	Gem_Choice	Chevron_Choice	LightGreen_Choice
Jellyfish_Probe	LightGray_Probe	Puzzle_Probe	Crowbar_Probe	LightTurquiose_Probe	Spike_Probe	Pacman_Probe	DarkGray_Probe	Hourglass_Probe	DarkBlue_Probe	Spade_Probe	Tie_Probe	DarkBlue_Probe	Venn_Probe	Bell_Probe	LightYellow_Probe	DarkGray_Probe	Venn_Probe
Jellyfish_Choice	LightGray_Choice	Puzzle_Choice	Crowbar_Choice	LightTurquiose_Choice	Spike_Choice	Pacman_Choice	DarkGray_Choice	Hourglass_Choice	DarkBlue_Choice	Spade_Choice	Tie_Choice	DarkBlue_Choice	Venn_Choice	Bell_Choice	LightYellow_Choice	DarkGray_Choice	Venn_Choice
DarkGray_Probe	Jellyfish_Probe	LightYellow_Probe	Nail_Probe	Rabbit_Probe	LeftArrow_Probe	DarkTurquiose_Probe	Chevron_Probe	LightYellow_Probe	Diamond_Probe	Tie_Probe	DarkYellow_Probe	Tie_Probe	LightGreen_Probe	Diamond_Probe	Venn_Probe	Sawblade_Probe	Tie_Probe
