IMA10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
Dodecagon_Probe	Star	LightBlue	UpArrow	UpArrow_Probe	Crowbar_Probe	DarkPurple	Pacman	LightPurple_Probe	UpArrow_Probe
Dodecagon_Probe	Star	LightBlue	UpArrow	UpArrow_Probe	Crowbar_Probe	DarkPurple	Pacman	LightPurple_Probe	UpArrow_Probe
Dodecagon_Probe	Star	LightBlue	UpArrow	UpArrow_Probe	Crowbar_Probe	DarkPurple	Pacman	LightPurple_Probe	UpArrow_Probe
DarkGreen_Probe	LightGreen_Probe	Lock_Probe	Chevron	LightBlue	Venn_Probe	Pacman	DarkGreen	Spike	Stickyhand
DarkGreen_Probe	LightGreen_Probe	Lock_Probe	Chevron	LightBlue	Venn_Probe	Pacman	DarkGreen	Spike	Stickyhand
DarkGreen_Probe	LightGreen_Probe	Lock_Probe	Chevron	LightBlue	Venn_Probe	Pacman	DarkGreen	Spike	Stickyhand
Gem_Probe	Puzzle_Probe	LeftArrow	LightBlue	Star	DarkYellow	Sawblade	Lock_Probe	Pacman_Probe	DarkGray
Gem_Probe	Puzzle_Probe	LeftArrow	LightBlue	Star	DarkYellow	Sawblade	Lock_Probe	Pacman_Probe	DarkGray
Gem_Probe	Puzzle_Probe	LeftArrow	LightBlue	Star	DarkYellow	Sawblade	Lock_Probe	Pacman_Probe	DarkGray
Venn_Probe	Gem	LightTurquiose_Probe	Hourglass	Hat	Bell	DarkBlue_Probe	LeftArrow	LightRed_Probe	Bar
Venn_Probe	Gem	LightTurquiose_Probe	Hourglass	Hat	Bell	DarkBlue_Probe	LeftArrow	LightRed_Probe	Bar
Venn_Probe	Gem	LightTurquiose_Probe	Hourglass	Hat	Bell	DarkBlue_Probe	LeftArrow	LightRed_Probe	Bar
LightTurquiose	LightRed	Dodecagon_Probe	Pacman_Probe	DarkYellow_Probe	UpArrow	House_Probe	DarkBlue	Puzzle_Probe	House_Probe
LightTurquiose	LightRed	Dodecagon_Probe	Pacman_Probe	DarkYellow_Probe	UpArrow	House_Probe	DarkBlue	Puzzle_Probe	House_Probe
LightTurquiose	LightRed	Dodecagon_Probe	Pacman_Probe	DarkYellow_Probe	UpArrow	House_Probe	DarkBlue	Puzzle_Probe	House_Probe
