4	 7	 9	12	14
Heart_Choice	LightBlue_Choice	Background	Puzzle_Choice	Crowbar_Choice
DarkTurquiose	Background	Spade	Tie	DarkPurple
DarkTurquiose	Background	Spade	Tie	DarkPurple
DarkTurquiose	Background	Spade	Tie	DarkPurple
DarkTurquiose	Background	Spade	Tie	DarkPurple
DarkTurquiose	Background	Spade	Tie	DarkPurple
DarkTurquiose_Choice	Background	Spade_Choice	Tie_Choice	DarkPurple_Choice
Bar	Acorn	DarkGray	Background	Nail
Bar	Acorn	DarkGray	Background	Nail
Bar	Acorn	DarkGray	Background	Nail
Bar	Acorn	DarkGray	Background	Nail
Bar	Acorn	DarkGray	Background	Nail
Bar_Choice	Acorn_Choice	DarkGray_Choice	Background	Nail_Choice
Background	Venn	Pacman	LightPurple	Background
Background	Venn	Pacman	LightPurple	Background
Background	Venn	Pacman	LightPurple	Background
Background	Venn	Pacman	LightPurple	Background
Background	Venn	Pacman	LightPurple	Background
Background	Venn_Choice	Pacman_Choice	LightPurple_Choice	Background
Jellyfish	DarkTurquiose	Background	Lock	LeftArrow
Jellyfish	DarkTurquiose	Background	Lock	LeftArrow
Jellyfish	DarkTurquiose	Background	Lock	LeftArrow
Jellyfish	DarkTurquiose	Background	Lock	LeftArrow
Jellyfish	DarkTurquiose	Background	Lock	LeftArrow
Jellyfish_Choice	DarkTurquiose_Choice	Background	Lock_Choice	LeftArrow_Choice
LightTurquiose	Background	Venn	Crowbar	LightTurquiose
LightTurquiose	Background	Venn	Crowbar	LightTurquiose
LightTurquiose	Background	Venn	Crowbar	LightTurquiose
LightTurquiose	Background	Venn	Crowbar	LightTurquiose
LightTurquiose	Background	Venn	Crowbar	LightTurquiose
LightTurquiose_Choice	Background	Venn_Choice	Crowbar_Choice	LightTurquiose_Choice
Dodecagon	Ditto	DarkGreen	Background	Hourglass
Dodecagon	Ditto	DarkGreen	Background	Hourglass
Dodecagon	Ditto	DarkGreen	Background	Hourglass
Dodecagon	Ditto	DarkGreen	Background	Hourglass
Dodecagon	Ditto	DarkGreen	Background	Hourglass
Dodecagon_Choice	Ditto_Choice	DarkGreen_Choice	Background	Hourglass_Choice
Background	Hourglass	Heart	LightGray	Background
Background	Hourglass	Heart	LightGray	Background
Background	Hourglass	Heart	LightGray	Background
Background	Hourglass	Heart	LightGray	Background
Background	Hourglass	Heart	LightGray	Background
Background	Hourglass_Choice	Heart_Choice	LightGray_Choice	Background
Stickyhand	LightTurquiose	Background	Spade	Chevron
Stickyhand	LightTurquiose	Background	Spade	Chevron
Stickyhand	LightTurquiose	Background	Spade	Chevron
Stickyhand	LightTurquiose	Background	Spade	Chevron
Stickyhand	LightTurquiose	Background	Spade	Chevron
Stickyhand_Choice	LightTurquiose_Choice	Background	Spade_Choice	Chevron_Choice
DarkGray	Background	Lock	LeftArrow	DarkGray
DarkGray	Background	Lock	LeftArrow	DarkGray
DarkGray	Background	Lock	LeftArrow	DarkGray
DarkGray	Background	Lock	LeftArrow	DarkGray
DarkGray	Background	Lock	LeftArrow	DarkGray
DarkGray_Choice	Background	Lock_Choice	LeftArrow_Choice	DarkGray_Choice
Puzzle	Heart	DarkPurple	Background	Spike
Puzzle	Heart	DarkPurple	Background	Spike
Puzzle	Heart	DarkPurple	Background	Spike
Puzzle	Heart	DarkPurple	Background	Spike
Puzzle	Heart	DarkPurple	Background	Spike
Puzzle_Choice	Heart_Choice	DarkPurple_Choice	Background	Spike_Choice
Background	Lock	Acorn	DarkYellow	Background
Background	Lock	Acorn	DarkYellow	Background
Background	Lock	Acorn	DarkYellow	Background
Background	Lock	Acorn	DarkYellow	Background
Background	Lock	Acorn	DarkYellow	Background
Background	Lock_Choice	Acorn_Choice	DarkYellow_Choice	Background
House	DarkGreen	Background	Diamond	Bell
House	DarkGreen	Background	Diamond	Bell
House	DarkGreen	Background	Diamond	Bell
House	DarkGreen	Background	Diamond	Bell
House	DarkGreen	Background	Diamond	Bell
House_Choice	DarkGreen_Choice	Background	Diamond_Choice	Bell_Choice
DarkRed	Background	Dodecagon	Star	LightPurple
DarkRed	Background	Dodecagon	Star	LightPurple
DarkRed	Background	Dodecagon	Star	LightPurple
DarkRed	Background	Dodecagon	Star	LightPurple
DarkRed	Background	Dodecagon	Star	LightPurple
DarkRed_Choice	Background	Dodecagon_Choice	Star_Choice	LightPurple_Choice
Spike	House	LightGreen	Background	Sawblade
Spike	House	LightGreen	Background	Sawblade
Spike	House	LightGreen	Background	Sawblade
Spike	House	LightGreen	Background	Sawblade
Spike	House	LightGreen	Background	Sawblade
Spike_Choice	House_Choice	LightGreen_Choice	Background	Sawblade_Choice
Background	Rabbit	Gem	DarkGreen	Background
Background	Rabbit	Gem	DarkGreen	Background
Background	Rabbit	Gem	DarkGreen	Background
Background	Rabbit	Gem	DarkGreen	Background
Background	Rabbit	Gem	DarkGreen	Background
Background	Rabbit_Choice	Gem_Choice	DarkGreen_Choice	Background
Gem	DarkRed	Background	Hat	Ditto
Gem	DarkRed	Background	Hat	Ditto
Gem	DarkRed	Background	Hat	Ditto
Gem	DarkRed	Background	Hat	Ditto
Gem	DarkRed	Background	Hat	Ditto
Gem_Choice	DarkRed_Choice	Background	Hat_Choice	Ditto_Choice
LightPurple	Background	Rabbit	House	LightYellow
LightPurple	Background	Rabbit	House	LightYellow
LightPurple	Background	Rabbit	House	LightYellow
LightPurple	Background	Rabbit	House	LightYellow
LightPurple	Background	Rabbit	House	LightYellow
LightPurple_Choice	Background	Rabbit_Choice	House_Choice	LightYellow_Choice
UpArrow	Crowbar	LightYellow	Background	Dodecagon
UpArrow	Crowbar	LightYellow	Background	Dodecagon
UpArrow	Crowbar	LightYellow	Background	Dodecagon
UpArrow	Crowbar	LightYellow	Background	Dodecagon
UpArrow	Crowbar	LightYellow	Background	Dodecagon
UpArrow_Choice	Crowbar_Choice	LightYellow_Choice	Background	Dodecagon_Choice
Background	Bar	House	DarkTurquiose	Background
Background	Bar	House	DarkTurquiose	Background
Background	Bar	House	DarkTurquiose	Background
Background	Bar	House	DarkTurquiose	Background
Background	Bar	House	DarkTurquiose	Background
Background	Bar_Choice	House_Choice	DarkTurquiose_Choice	Background
Star	DarkYellow	Background	Hourglass	Star
Star	DarkYellow	Background	Hourglass	Star
Star	DarkYellow	Background	Hourglass	Star
Star	DarkYellow	Background	Hourglass	Star
Star	DarkYellow	Background	Hourglass	Star
Star_Choice	DarkYellow_Choice	Background	Hourglass_Choice	Star_Choice
LightGray	Background	Sawblade	Ditto	DarkGreen
LightGray	Background	Sawblade	Ditto	DarkGreen
LightGray	Background	Sawblade	Ditto	DarkGreen
LightGray	Background	Sawblade	Ditto	DarkGreen
LightGray	Background	Sawblade	Ditto	DarkGreen
LightGray_Choice	Background	Sawblade_Choice	Ditto_Choice	DarkGreen_Choice
Hat	Stickyhand	LightRed	Background	Puzzle
Hat	Stickyhand	LightRed	Background	Puzzle
Hat	Stickyhand	LightRed	Background	Puzzle
Hat	Stickyhand	LightRed	Background	Puzzle
Hat	Stickyhand	LightRed	Background	Puzzle
Hat_Choice	Stickyhand_Choice	LightRed_Choice	Background	Puzzle_Choice
Background	Dodecagon	Tie	LightRed	Background
