2	 3	 4	 5	 6	 7	 9	11	12	13	14
Star_Choice	DarkBlue_Choice	Background	Dodecagon_Choice	Ditto_Choice	DarkGreen_Choice	Spike_Choice	Background	Diamond_Choice	DarkBlue_Choice	Background
DarkRed	Background	Bar	Stickyhand	DarkGray	Background	Tie	Spike	DarkYellow	Background	Spike
DarkRed	Background	Bar	Stickyhand	DarkGray	Background	Tie	Spike	DarkYellow	Background	Spike
DarkRed	Background	Bar	Stickyhand	DarkGray	Background	Tie	Spike	DarkYellow	Background	Spike
DarkRed	Background	Bar	Stickyhand	DarkGray	Background	Tie	Spike	DarkYellow	Background	Spike
DarkRed	Background	Bar	Stickyhand	DarkGray	Background	Tie	Spike	DarkYellow	Background	Spike
DarkRed_Choice	Background	Bar_Choice	Stickyhand_Choice	DarkGray_Choice	Background	Tie_Choice	Spike_Choice	DarkYellow_Choice	Background	Spike_Choice
Hat	Stickyhand	DarkGreen	Background	Bar	Star	Background	DarkGray	Puzzle	Diamond	DarkPurple
Hat	Stickyhand	DarkGreen	Background	Bar	Star	Background	DarkGray	Puzzle	Diamond	DarkPurple
Hat	Stickyhand	DarkGreen	Background	Bar	Star	Background	DarkGray	Puzzle	Diamond	DarkPurple
Hat	Stickyhand	DarkGreen	Background	Bar	Star	Background	DarkGray	Puzzle	Diamond	DarkPurple
Hat	Stickyhand	DarkGreen	Background	Bar	Star	Background	DarkGray	Puzzle	Diamond	DarkPurple
Hat_Choice	Stickyhand_Choice	DarkGreen_Choice	Background	Bar_Choice	Star_Choice	Background	DarkGray_Choice	Puzzle_Choice	Diamond_Choice	DarkPurple_Choice
Background	Bar	Stickyhand	DarkPurple	Background	Nail	DarkRed	Diamond	Background	Hat	Tie
Background	Bar	Stickyhand	DarkPurple	Background	Nail	DarkRed	Diamond	Background	Hat	Tie
Background	Bar	Stickyhand	DarkPurple	Background	Nail	DarkRed	Diamond	Background	Hat	Tie
Background	Bar	Stickyhand	DarkPurple	Background	Nail	DarkRed	Diamond	Background	Hat	Tie
Background	Bar	Stickyhand	DarkPurple	Background	Nail	DarkRed	Diamond	Background	Hat	Tie
Background	Bar_Choice	Stickyhand_Choice	DarkPurple_Choice	Background	Nail_Choice	DarkRed_Choice	Diamond_Choice	Background	Hat_Choice	Tie_Choice
Ditto	DarkYellow	Background	Puzzle	House	DarkRed	Bar	Background	Tie	DarkTurquiose	Background
Ditto	DarkYellow	Background	Puzzle	House	DarkRed	Bar	Background	Tie	DarkTurquiose	Background
Ditto	DarkYellow	Background	Puzzle	House	DarkRed	Bar	Background	Tie	DarkTurquiose	Background
Ditto	DarkYellow	Background	Puzzle	House	DarkRed	Bar	Background	Tie	DarkTurquiose	Background
Ditto	DarkYellow	Background	Puzzle	House	DarkRed	Bar	Background	Tie	DarkTurquiose	Background
Ditto_Choice	DarkYellow_Choice	Background	Puzzle_Choice	House_Choice	DarkRed_Choice	Bar_Choice	Background	Tie_Choice	DarkTurquiose_Choice	Background
DarkPurple	Background	Puzzle	Diamond	DarkRed	Background	Star	UpArrow	DarkGreen	Background	Dodecagon
DarkPurple	Background	Puzzle	Diamond	DarkRed	Background	Star	UpArrow	DarkGreen	Background	Dodecagon
DarkPurple	Background	Puzzle	Diamond	DarkRed	Background	Star	UpArrow	DarkGreen	Background	Dodecagon
DarkPurple	Background	Puzzle	Diamond	DarkRed	Background	Star	UpArrow	DarkGreen	Background	Dodecagon
DarkPurple	Background	Puzzle	Diamond	DarkRed	Background	Star	UpArrow	DarkGreen	Background	Dodecagon
DarkPurple_Choice	Background	Puzzle_Choice	Diamond_Choice	DarkRed_Choice	Background	Star_Choice	UpArrow_Choice	DarkGreen_Choice	Background	Dodecagon_Choice
Nail	House	DarkTurquiose	Background	Dodecagon	LeftArrow	Background	DarkTurquiose	Dodecagon	House	DarkGreen
Nail	House	DarkTurquiose	Background	Dodecagon	LeftArrow	Background	DarkTurquiose	Dodecagon	House	DarkGreen
Nail	House	DarkTurquiose	Background	Dodecagon	LeftArrow	Background	DarkTurquiose	Dodecagon	House	DarkGreen
Nail	House	DarkTurquiose	Background	Dodecagon	LeftArrow	Background	DarkTurquiose	Dodecagon	House	DarkGreen
Nail	House	DarkTurquiose	Background	Dodecagon	LeftArrow	Background	DarkTurquiose	Dodecagon	House	DarkGreen
Nail_Choice	House_Choice	DarkTurquiose_Choice	Background	Dodecagon_Choice	LeftArrow_Choice	Background	DarkTurquiose_Choice	Dodecagon_Choice	House_Choice	DarkGreen_Choice
Background	Dodecagon	Ditto	DarkTurquiose	Background	UpArrow	DarkTurquiose	Tie	Background	Puzzle	Stickyhand
Background	Dodecagon	Ditto	DarkTurquiose	Background	UpArrow	DarkTurquiose	Tie	Background	Puzzle	Stickyhand
Background	Dodecagon	Ditto	DarkTurquiose	Background	UpArrow	DarkTurquiose	Tie	Background	Puzzle	Stickyhand
Background	Dodecagon	Ditto	DarkTurquiose	Background	UpArrow	DarkTurquiose	Tie	Background	Puzzle	Stickyhand
Background	Dodecagon	Ditto	DarkTurquiose	Background	UpArrow	DarkTurquiose	Tie	Background	Puzzle	Stickyhand
Background	Dodecagon_Choice	Ditto_Choice	DarkTurquiose_Choice	Background	UpArrow_Choice	DarkTurquiose_Choice	Tie_Choice	Background	Puzzle_Choice	Stickyhand_Choice
Tie	DarkPurple	Background	Spike	LeftArrow	DarkTurquiose	UpArrow	Background	Ditto	DarkRed	Background
Tie	DarkPurple	Background	Spike	LeftArrow	DarkTurquiose	UpArrow	Background	Ditto	DarkRed	Background
Tie	DarkPurple	Background	Spike	LeftArrow	DarkTurquiose	UpArrow	Background	Ditto	DarkRed	Background
Tie	DarkPurple	Background	Spike	LeftArrow	DarkTurquiose	UpArrow	Background	Ditto	DarkRed	Background
Tie	DarkPurple	Background	Spike	LeftArrow	DarkTurquiose	UpArrow	Background	Ditto	DarkRed	Background
Tie_Choice	DarkPurple_Choice	Background	Spike_Choice	LeftArrow_Choice	DarkTurquiose_Choice	UpArrow_Choice	Background	Ditto_Choice	DarkRed_Choice	Background
DarkYellow	Background	Spike	LeftArrow	DarkBlue	Background	House	Bar	DarkPurple	Background	Bar
DarkYellow	Background	Spike	LeftArrow	DarkBlue	Background	House	Bar	DarkPurple	Background	Bar
DarkYellow	Background	Spike	LeftArrow	DarkBlue	Background	House	Bar	DarkPurple	Background	Bar
DarkYellow	Background	Spike	LeftArrow	DarkBlue	Background	House	Bar	DarkPurple	Background	Bar
DarkYellow	Background	Spike	LeftArrow	DarkBlue	Background	House	Bar	DarkPurple	Background	Bar
DarkYellow_Choice	Background	Spike_Choice	LeftArrow_Choice	DarkBlue_Choice	Background	House_Choice	Bar_Choice	DarkPurple_Choice	Background	Bar_Choice
UpArrow	Tie	DarkRed	Background	Puzzle	Tie	Background	DarkYellow	Spike	Ditto	DarkTurquiose
UpArrow	Tie	DarkRed	Background	Puzzle	Tie	Background	DarkYellow	Spike	Ditto	DarkTurquiose
UpArrow	Tie	DarkRed	Background	Puzzle	Tie	Background	DarkYellow	Spike	Ditto	DarkTurquiose
UpArrow	Tie	DarkRed	Background	Puzzle	Tie	Background	DarkYellow	Spike	Ditto	DarkTurquiose
UpArrow	Tie	DarkRed	Background	Puzzle	Tie	Background	DarkYellow	Spike	Ditto	DarkTurquiose
UpArrow_Choice	Tie_Choice	DarkRed_Choice	Background	Puzzle_Choice	Tie_Choice	Background	DarkYellow_Choice	Spike_Choice	Ditto_Choice	DarkTurquiose_Choice
Background	UpArrow	Diamond	DarkYellow	Background	Hat	DarkGray	Star	Background	Dodecagon	Diamond
Background	UpArrow	Diamond	DarkYellow	Background	Hat	DarkGray	Star	Background	Dodecagon	Diamond
Background	UpArrow	Diamond	DarkYellow	Background	Hat	DarkGray	Star	Background	Dodecagon	Diamond
Background	UpArrow	Diamond	DarkYellow	Background	Hat	DarkGray	Star	Background	Dodecagon	Diamond
Background	UpArrow	Diamond	DarkYellow	Background	Hat	DarkGray	Star	Background	Dodecagon	Diamond
Background	UpArrow_Choice	Diamond_Choice	DarkYellow_Choice	Background	Hat_Choice	DarkGray_Choice	Star_Choice	Background	Dodecagon_Choice	Diamond_Choice
House	DarkTurquiose	Background	UpArrow	Tie	DarkYellow	Nail	Background	House	DarkGreen	Background
House	DarkTurquiose	Background	UpArrow	Tie	DarkYellow	Nail	Background	House	DarkGreen	Background
House	DarkTurquiose	Background	UpArrow	Tie	DarkYellow	Nail	Background	House	DarkGreen	Background
House	DarkTurquiose	Background	UpArrow	Tie	DarkYellow	Nail	Background	House	DarkGreen	Background
House	DarkTurquiose	Background	UpArrow	Tie	DarkYellow	Nail	Background	House	DarkGreen	Background
House_Choice	DarkTurquiose_Choice	Background	UpArrow_Choice	Tie_Choice	DarkYellow_Choice	Nail_Choice	Background	House_Choice	DarkGreen_Choice	Background
DarkGreen	Background	Nail	Star	DarkGreen	Background	LeftArrow	Dodecagon	DarkTurquiose	Background	Puzzle
DarkGreen	Background	Nail	Star	DarkGreen	Background	LeftArrow	Dodecagon	DarkTurquiose	Background	Puzzle
DarkGreen	Background	Nail	Star	DarkGreen	Background	LeftArrow	Dodecagon	DarkTurquiose	Background	Puzzle
DarkGreen	Background	Nail	Star	DarkGreen	Background	LeftArrow	Dodecagon	DarkTurquiose	Background	Puzzle
DarkGreen	Background	Nail	Star	DarkGreen	Background	LeftArrow	Dodecagon	DarkTurquiose	Background	Puzzle
DarkGreen_Choice	Background	Nail_Choice	Star_Choice	DarkGreen_Choice	Background	LeftArrow_Choice	Dodecagon_Choice	DarkTurquiose_Choice	Background	Puzzle_Choice
Dodecagon	LeftArrow	DarkYellow	Background	Spike	Ditto	Background	DarkBlue	Nail	Star	DarkGray
Dodecagon	LeftArrow	DarkYellow	Background	Spike	Ditto	Background	DarkBlue	Nail	Star	DarkGray
Dodecagon	LeftArrow	DarkYellow	Background	Spike	Ditto	Background	DarkBlue	Nail	Star	DarkGray
Dodecagon	LeftArrow	DarkYellow	Background	Spike	Ditto	Background	DarkBlue	Nail	Star	DarkGray
Dodecagon	LeftArrow	DarkYellow	Background	Spike	Ditto	Background	DarkBlue	Nail	Star	DarkGray
Dodecagon_Choice	LeftArrow_Choice	DarkYellow_Choice	Background	Spike_Choice	Ditto_Choice	Background	DarkBlue_Choice	Nail_Choice	Star_Choice	DarkGray_Choice
Background	Nail	Star	DarkGray	Background	Dodecagon	DarkGreen	Ditto	Background	UpArrow	Star
Background	Nail	Star	DarkGray	Background	Dodecagon	DarkGreen	Ditto	Background	UpArrow	Star
Background	Nail	Star	DarkGray	Background	Dodecagon	DarkGreen	Ditto	Background	UpArrow	Star
Background	Nail	Star	DarkGray	Background	Dodecagon	DarkGreen	Ditto	Background	UpArrow	Star
Background	Nail	Star	DarkGray	Background	Dodecagon	DarkGreen	Ditto	Background	UpArrow	Star
Background	Nail_Choice	Star_Choice	DarkGray_Choice	Background	Dodecagon_Choice	DarkGreen_Choice	Ditto_Choice	Background	UpArrow_Choice	Star_Choice
LeftArrow	DarkGreen	Background	Nail	Star	DarkBlue	Puzzle	Background	LeftArrow	DarkYellow	Background
LeftArrow	DarkGreen	Background	Nail	Star	DarkBlue	Puzzle	Background	LeftArrow	DarkYellow	Background
LeftArrow	DarkGreen	Background	Nail	Star	DarkBlue	Puzzle	Background	LeftArrow	DarkYellow	Background
LeftArrow	DarkGreen	Background	Nail	Star	DarkBlue	Puzzle	Background	LeftArrow	DarkYellow	Background
LeftArrow	DarkGreen	Background	Nail	Star	DarkBlue	Puzzle	Background	LeftArrow	DarkYellow	Background
