IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA2	IMA20	IMA21	IMA22	IMA23	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Diamond	Bar	Bar	Pacman	LightTurquiose	Pacman	DarkTurquiose	Spike	Sawblade	LeftArrow	Tie_Probe	LightBlue_Probe	Crowbar	LightBlue	LightRed_Probe	Lock	Hourglass_Probe	Star_Probe	Stickyhand	LightGray	Bell	DarkYellow
Diamond	Bar	Bar	Pacman	LightTurquiose	Pacman	DarkTurquiose	Spike	Sawblade	LeftArrow	Tie_Probe	LightBlue_Probe	Crowbar	LightBlue	LightRed_Probe	Lock	Hourglass_Probe	Star_Probe	Stickyhand	LightGray	Bell	DarkYellow
Diamond	Bar	Bar	Pacman	LightTurquiose	Pacman	DarkTurquiose	Spike	Sawblade	LeftArrow	Tie_Probe	LightBlue_Probe	Crowbar	LightBlue	LightRed_Probe	Lock	Hourglass_Probe	Star_Probe	Stickyhand	LightGray	Bell	DarkYellow
Diamond	Bar	Bar	Pacman	LightTurquiose	Pacman	DarkTurquiose	Spike	Sawblade	LeftArrow	Tie_Probe	LightBlue_Probe	Crowbar	LightBlue	LightRed_Probe	Lock	Hourglass_Probe	Star_Probe	Stickyhand	LightGray	Bell	DarkYellow
Diamond	Bar	Bar	Pacman	LightTurquiose	Pacman	DarkTurquiose	Spike	Sawblade	LeftArrow	Tie_Probe	LightBlue_Probe	Crowbar	LightBlue	LightRed_Probe	Lock	Hourglass_Probe	Star_Probe	Stickyhand	LightGray	Bell	DarkYellow
Diamond	Bar	Bar	Pacman	LightTurquiose	Pacman	DarkTurquiose	Spike	Sawblade	LeftArrow	Tie_Probe	LightBlue_Probe	Crowbar	LightBlue	LightRed_Probe	Lock	Hourglass_Probe	Star_Probe	Stickyhand	LightGray	Bell	DarkYellow
Diamond	Bar	Bar	Pacman	LightTurquiose	Pacman	DarkTurquiose	Spike	Sawblade	LeftArrow	Tie_Probe	LightBlue_Probe	Crowbar	LightBlue	LightRed_Probe	Lock	Hourglass_Probe	Star_Probe	Stickyhand	LightGray	Bell	DarkYellow
Diamond	Bar	Bar	Pacman	LightTurquiose	Pacman	DarkTurquiose	Spike	Sawblade	LeftArrow	Tie_Probe	LightBlue_Probe	Crowbar	LightBlue	LightRed_Probe	Lock	Hourglass_Probe	Star_Probe	Stickyhand	LightGray	Bell	DarkYellow
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Tie_Choice	LightBlue_Choice	Background	Background	LightRed_Choice	Background	Hourglass_Choice	Star_Choice	Background	Background	Background	Background
