Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
12,12,Jeeves,2023-01-31,1,Chromatic,Rabbit,1,1,2,0,1,UpperRight,LightPurple,LightYellow,DarkGreen,LightGray,LightPurple,UpperRight,LightPurple,0.696629213483146,0.735243749197928,1
12,12,Jeeves,2023-01-31,2,Colors,DarkBlue,1,1,2,0,1,UpperRight,Nail,Spade,Puzzle,Hourglass,Nail,UpperRight,Nail,0.259668508287293,1.36781733137792,1
12,12,Jeeves,2023-01-31,3,Chromatic,UpArrow,1,0,2,0,1,UpperRight,DarkRed,LightPurple,DarkGreen,LightTurquiose,DarkRed,LowerRight,LightPurple,0.408839779005525,1.15841298692204,1
12,12,Jeeves,2023-01-31,4,Colors,LightBlue,1,0,2,0,1,LowerLeft,Dodecagon,Nail,Sawblade,Bar,Sawblade,LowerRight,Nail,0.823204419889503,0.70383847406511,1
12,12,Jeeves,2023-01-31,5,Chromatic,Diamond,1,1,2,0,1,UpperRight,LightYellow,DarkTurquiose,LightBlue,LightGreen,LightYellow,UpperRight,LightYellow,0.320441988950276,1.46297935897399,1
12,12,Jeeves,2023-01-31,6,Colors,LightGreen,1,1,2,0,1,UpperRight,Lock,Hourglass,Spike,UpArrow,Lock,UpperRight,Lock,0.460674157303371,1.22825722558919,1
12,12,Jeeves,2023-01-31,7,Chromatic,Spade,1,0,2,0,1,LowerLeft,LightGray,DarkGray,LightTurquiose,LightRed,LightTurquiose,LowerRight,DarkGray,0.796703296703297,0.745983795166869,1
12,12,Jeeves,2023-01-31,8,Colors,LightYellow,1,0,2,0,1,UpperRight,Diamond,Nail,Spike,Bar,Diamond,UpperLeft,Bar,0.375690607734807,1.4484482566836,1
12,12,Jeeves,2023-01-31,9,Chromatic,Puzzle,1,1,2,0,1,UpperRight,DarkPurple,DarkTurquiose,LightBlue,LightPurple,DarkPurple,UpperRight,DarkPurple,0.325966850828729,1.32989085640707,1
12,12,Jeeves,2023-01-31,10,Colors,LightRed,1,0,2,0,1,UpperRight,Hourglass,Diamond,Spade,Dodecagon,Hourglass,UpperLeft,Dodecagon,0.854748603351955,0.680498016291805,1
12,12,Jeeves,2023-01-31,11,Chromatic,Hat,1,0,2,0,1,UpperLeft,LightPurple,DarkRed,LightGreen,DarkGray,DarkGray,LowerRight,DarkRed,0.475409836065574,1.03121638908129,1
12,12,Jeeves,2023-01-31,12,Colors,DarkPurple,1,1,2,0,1,LowerLeft,Dodecagon,Nail,Puzzle,Lock,Puzzle,LowerLeft,Puzzle,0.423076923076923,1.26203222702915,1
12,12,Jeeves,2023-01-31,13,Chromatic,Dodecagon,1,1,2,0,1,UpperRight,DarkTurquiose,DarkRed,DarkGreen,LightGray,DarkTurquiose,UpperRight,DarkTurquiose,0.70391061452514,0.77603969085645,1
12,12,Jeeves,2023-01-31,14,Colors,DarkYellow,1,1,2,0,1,UpperLeft,Dodecagon,UpArrow,Rabbit,Spike,Spike,UpperLeft,Spike,0.329608938547486,3.81141079791816,1
12,12,Jeeves,2023-01-31,15,Chromatic,Bar,1,0,2,0,1,UpperLeft,LightPurple,LightGreen,LightBlue,DarkGreen,DarkGreen,UpperRight,LightPurple,0.441988950276243,1.13755678352807,1
