155.62,171.87,162.77
179.58,171.87,154.78
177.31,171.87,144.1
174.44,171.87,134.21
171.07,171.87,125.34
167.31,171.87,117.73
163.27,171.87,111.55
159.06,171.87,106.92
154.8,171.87,103.95
150.59,171.87,102.68
146.54,171.87,103.13
142.75,171.87,105.29
139.31,171.87,109.11
136.32,171.87,114.5
133.86,171.87,121.35
132.01,171.87,129.5
130.82,171.87,138.76
130.34,171.87,148.91
130.62,171.87,159.67
131.66,171.87,170.75
133.46,171.87,181.84
135.98,171.87,192.56
139.18,171.87,202.58
142.96,171.87,211.54
147.2,171.87,219.09
151.78,171.87,224.94
156.54,171.87,228.86
161.3,171.87,230.67
165.9,171.87,230.28
170.16,171.87,227.71
173.94,171.87,223.06
177.1,171.87,216.5
179.54,171.87,208.31
181.19,171.87,198.79
182.01,171.87,188.31
181.99,171.87,177.23
181.17,171.87,165.93
