162.75,177.73,197.56
186.79,177.73,189.55
184.5,177.73,178.53
181.6,177.73,168.3
178.21,177.73,159.13
174.42,177.73,151.24
170.35,177.73,144.82
166.12,177.73,140
161.83,177.73,136.89
157.59,177.73,135.54
153.52,177.73,135.97
149.71,177.73,138.16
146.26,177.73,142.08
143.27,177.73,147.62
140.81,177.73,154.67
138.96,177.73,163.06
137.79,177.73,172.6
137.33,177.73,183.06
137.64,177.73,194.15
138.71,177.73,205.57
140.54,177.73,216.99
143.1,177.73,228.05
146.33,177.73,238.38
150.13,177.73,247.61
154.41,177.73,255.4
159.01,177.73,261.44
163.78,177.73,265.5
168.55,177.73,267.39
173.16,177.73,267.04
177.43,177.73,264.43
181.21,177.73,259.69
184.37,177.73,252.99
186.8,177.73,244.6
188.44,177.73,234.84
189.25,177.73,224.07
189.23,177.73,212.68
188.39,177.73,201.04
