0.19331,0.47143
0.22179,0.47143
0.22136,0.47638
0.22007,0.48117
0.21798,0.48567
0.21513,0.48974
0.21162,0.49325
0.20755,0.4961
0.20305,0.4982
0.19825,0.49948
0.19331,0.49991
0.18836,0.49948
0.18357,0.4982
0.17907,0.4961
0.175,0.49325
0.17149,0.48974
0.16864,0.48567
0.16654,0.48117
0.16526,0.47638
0.16482,0.47143
0.16526,0.46648
0.16654,0.46169
0.16864,0.45719
0.17149,0.45312
0.175,0.44961
0.17907,0.44676
0.18357,0.44466
0.18836,0.44338
0.19331,0.44294
0.19825,0.44338
0.20305,0.44466
0.20755,0.44676
0.21162,0.44961
0.21513,0.45312
0.21798,0.45719
0.22007,0.46169
0.22136,0.46648
