0,0
-0.029303,0
-0.028858,-0.0050884
-0.027536,-0.010022
-0.025377,-0.014652
-0.022448,-0.018836
-0.018836,-0.022448
-0.014652,-0.025377
-0.010022,-0.027536
-0.0050884,-0.028858
-2.7756e-17,-0.029303
0.0050884,-0.028858
0.010022,-0.027536
0.014652,-0.025377
0.018836,-0.022448
0.022448,-0.018836
0.025377,-0.014652
0.027536,-0.010022
0.028858,-0.0050884
0.029303,0
0.028858,0.0050884
0.027536,0.010022
0.025377,0.014652
0.022448,0.018836
0.018836,0.022448
0.014652,0.025377
0.010022,0.027536
0.0050884,0.028858
-2.7756e-17,0.029303
-0.0050884,0.028858
-0.010022,0.027536
-0.014652,0.025377
-0.018836,0.022448
-0.022448,0.018836
-0.025377,0.014652
-0.027536,0.010022
-0.028858,0.0050884
