145,147,141
193,134,137
192,135,132
190,136,125
186,137,120
182,139,116
177,141,112
170,144,108
163,145,107
155,147,106
146,150,106
135,152,107
125,153,110
115,155,113
103,156,118
91,157,122
79,158,128
67,159,134
56,159,139
50,159,145
50,158,150
56,157,155
67,157,160
79,155,164
91,153,167
106,151,170
118,149,171
131,146,172
143,144,172
154,142,170
163,139,169
172,137,166
179,135,163
184,134,158
188,133,153
192,133,148
193,133,143
