LUV_angle	correctR	correctG	correctB	linearR	linearG	linearB
0	248	178	183	0.97335	0.50109	0.56077
10	247	179	176	0.96487	0.50639	0.52547
20	245	180	170	0.94525	0.51393	0.49266
30	240	182	164	0.9154	0.52342	0.46321
40	235	184	160	0.87641	0.53454	0.43784
50	229	186	155	0.82956	0.54696	0.41714
60	221	188	152	0.77626	0.56031	0.40154
70	212	190	150	0.718	0.57424	0.39138
80	202	193	149	0.65632	0.58838	0.38684
90	192	195	149	0.59282	0.60238	0.38798
100	181	197	151	0.52909	0.61587	0.39478
110	170	199	153	0.46674	0.62853	0.40706
120	158	201	157	0.40738	0.64002	0.42456
130	147	203	161	0.35258	0.65003	0.4469
140	135	204	167	0.30385	0.65826	0.47357
150	126	205	173	0.26265	0.66447	0.50394
160	118	205	178	0.2303	0.66842	0.53728
170	111	206	185	0.20798	0.66994	0.5727
180	108	206	191	0.19665	0.66891	0.60923
190	108	205	197	0.19701	0.66529	0.64581
200	111	204	203	0.20941	0.65909	0.68127
210	119	203	208	0.23384	0.65045	0.71444
220	128	201	213	0.26983	0.63957	0.74416
230	139	199	217	0.31649	0.62677	0.7693
240	151	197	220	0.37243	0.61244	0.7889
250	164	194	222	0.43584	0.59707	0.80214
260	177	192	223	0.50457	0.58119	0.80847
270	189	189	223	0.57617	0.56537	0.80759
280	201	186	222	0.64805	0.55018	0.79951
290	212	184	219	0.71762	0.53618	0.78456
300	222	182	216	0.78241	0.52385	0.76331
310	230	180	212	0.84018	0.51361	0.73662
320	237	179	207	0.88907	0.50576	0.70551
330	243	178	201	0.92761	0.50054	0.67115
340	246	177	195	0.9548	0.49803	0.63476
350	248	177	189	0.97008	0.49824	0.59756
