43.362,46.999,49.636
52.51,46.999,46.586
51.596,46.999,42.464
50.465,46.999,38.673
49.158,46.999,35.303
47.716,46.999,32.429
46.181,46.999,30.107
44.595,46.999,28.379
42.995,46.999,27.272
41.421,46.999,26.802
39.909,46.999,26.973
38.494,46.999,27.778
37.208,46.999,29.201
36.084,46.999,31.216
35.152,46.999,33.784
34.439,46.999,36.855
33.97,46.999,40.366
33.766,46.999,44.239
33.844,46.999,48.382
34.213,46.999,52.685
34.876,46.999,57.025
35.825,46.999,61.267
37.041,46.999,65.264
38.494,46.999,68.868
40.141,46.999,71.936
41.929,46.999,74.335
43.793,46.999,75.956
45.663,46.999,76.722
47.468,46.999,76.59
49.136,46.999,75.564
50.604,46.999,73.686
51.818,46.999,71.039
52.737,46.999,67.737
53.335,46.999,63.921
53.603,46.999,59.743
53.542,46.999,55.361
53.169,46.999,50.928
