195.46,215.55,210.66
223.99,215.55,201.15
221.29,215.55,188.36
217.88,215.55,176.48
213.87,215.55,165.84
209.39,215.55,156.69
204.58,215.55,149.25
199.56,215.55,143.67
194.46,215.55,140.08
189.44,215.55,138.54
184.6,215.55,139.07
180.07,215.55,141.66
175.97,215.55,146.25
172.41,215.55,152.72
169.48,215.55,160.95
167.28,215.55,170.73
165.87,215.55,181.84
165.32,215.55,194
165.67,215.55,206.9
166.93,215.55,220.17
169.09,215.55,233.42
172.11,215.55,246.23
175.92,215.55,258.19
180.42,215.55,268.86
185.48,215.55,277.86
190.92,215.55,284.83
196.57,215.55,289.49
202.22,215.55,291.64
207.67,215.55,291.19
212.74,215.55,288.14
217.22,215.55,282.61
220.98,215.55,274.81
223.89,215.55,265.06
225.85,215.55,253.72
226.84,215.55,241.22
226.83,215.55,227.99
225.86,215.55,214.49
