IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Crowbar_Choice	LightRed_Choice	Hourglass_Choice	Gem_Choice	LightYellow_Choice	Diamond_Choice	Tie_Choice	LightYellow_Choice	Diamond_Choice	Bell_Choice	DarkGray_Choice	Rabbit_Choice	Chevron_Choice	DarkTurquiose_Choice	Rabbit_Choice	Crowbar_Choice	LightPurple_Choice	Spade_Choice
DarkGray_Probe	LeftArrow_Probe	DarkTurquiose_Probe	Hourglass_Probe	Lock_Probe	Tie_Probe	DarkRed_Probe	House_Probe	DarkYellow_Probe	Lock_Probe	Dodecagon_Probe	Jellyfish_Probe	LightYellow_Probe	Ditto_Probe	DarkGray_Probe	Venn_Probe	Hourglass_Probe	Jellyfish_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray_Choice	LeftArrow_Choice	DarkTurquiose_Choice	Hourglass_Choice	Lock_Choice	Tie_Choice	DarkRed_Choice	House_Choice	DarkYellow_Choice	Lock_Choice	Dodecagon_Choice	Jellyfish_Choice	LightYellow_Choice	Ditto_Choice	DarkGray_Choice	Venn_Choice	Hourglass_Choice	Jellyfish_Choice
Spike_Probe	Hourglass_Probe	Crowbar_Probe	DarkBlue_Probe	Bell_Probe	LightBlue_Probe	Lock_Probe	Diamond_Probe	Chevron_Probe	LightGray_Probe	LeftArrow_Probe	DarkYellow_Probe	Hourglass_Probe	Nail_Probe	Crowbar_Probe	DarkBlue_Probe	Jellyfish_Probe	LightRed_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spike_Choice	Hourglass_Choice	Crowbar_Choice	DarkBlue_Choice	Bell_Choice	LightBlue_Choice	Lock_Choice	Diamond_Choice	Chevron_Choice	LightGray_Choice	LeftArrow_Choice	DarkYellow_Choice	Hourglass_Choice	Nail_Choice	Crowbar_Choice	DarkBlue_Choice	Jellyfish_Choice	LightRed_Choice
LeftArrow_Probe	LightGreen_Probe	Lock_Probe	Acorn_Probe	DarkGray_Probe	Bar_Probe	Jellyfish_Probe	DarkPurple_Probe	Dodecagon_Probe	Stickyhand_Probe	DarkPurple_Probe	UpArrow_Probe	Stickyhand_Probe	LightPurple_Probe	Hat_Probe	Tie_Probe	LightBlue_Probe	Puzzle_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LeftArrow_Choice	LightGreen_Choice	Lock_Choice	Acorn_Choice	DarkGray_Choice	Bar_Choice	Jellyfish_Choice	DarkPurple_Choice	Dodecagon_Choice	Stickyhand_Choice	DarkPurple_Choice	UpArrow_Choice	Stickyhand_Choice	LightPurple_Choice	Hat_Choice	Tie_Choice	LightBlue_Choice	Puzzle_Choice
LightRed_Probe	Pacman_Probe	LightGray_Probe	Dodecagon_Probe	Sawblade_Probe	Stickyhand_Probe	LightRed_Probe	Pacman_Probe	DarkBlue_Probe	Venn_Probe	Rabbit_Probe	Tie_Probe	DarkGreen_Probe	Pacman_Probe	LightGreen_Probe	Rabbit_Probe	Diamond_Probe	Stickyhand_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightRed_Choice	Pacman_Choice	LightGray_Choice	Dodecagon_Choice	Sawblade_Choice	Stickyhand_Choice	LightRed_Choice	Pacman_Choice	DarkBlue_Choice	Venn_Choice	Rabbit_Choice	Tie_Choice	DarkGreen_Choice	Pacman_Choice	LightGreen_Choice	Rabbit_Choice	Diamond_Choice	Stickyhand_Choice
Diamond_Probe	Venn_Probe	LeftArrow_Probe	DarkGray_Probe	Star_Probe	DarkYellow_Probe	Hat_Probe	Puzzle_Probe	Stickyhand_Probe	DarkPurple_Probe	Crowbar_Probe	DarkPurple_Probe	Lock_Probe	Hat_Probe	LeftArrow_Probe	LightYellow_Probe	Heart_Probe	LightBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Diamond_Choice	Venn_Choice	LeftArrow_Choice	DarkGray_Choice	Star_Choice	DarkYellow_Choice	Hat_Choice	Puzzle_Choice	Stickyhand_Choice	DarkPurple_Choice	Crowbar_Choice	DarkPurple_Choice	Lock_Choice	Hat_Choice	LeftArrow_Choice	LightYellow_Choice	Heart_Choice	LightBlue_Choice
Gem_Probe	LightBlue_Probe	Rabbit_Probe	Jellyfish_Probe	DarkRed_Probe	Venn_Probe	Pacman_Probe	LightGray_Probe	Rabbit_Probe	House_Probe	DarkRed_Probe	Dodecagon_Probe	House_Probe	LightRed_Probe	Sawblade_Probe	Gem_Probe	LightYellow_Probe	Hourglass_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Gem_Choice	LightBlue_Choice	Rabbit_Choice	Jellyfish_Choice	DarkRed_Choice	Venn_Choice	Pacman_Choice	LightGray_Choice	Rabbit_Choice	House_Choice	DarkRed_Choice	Dodecagon_Choice	House_Choice	LightRed_Choice	Sawblade_Choice	Gem_Choice	LightYellow_Choice	Hourglass_Choice
LightGreen_Probe	Crowbar_Probe	DarkYellow_Probe	Rabbit_Probe	Diamond_Probe	House_Probe	LightPurple_Probe	Gem_Probe	DarkRed_Probe	Hourglass_Probe	Nail_Probe	Star_Probe	DarkRed_Probe	Stickyhand_Probe	DarkGreen_Probe	Hat_Probe	Dodecagon_Probe	Tie_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen_Choice	Crowbar_Choice	DarkYellow_Choice	Rabbit_Choice	Diamond_Choice	House_Choice	LightPurple_Choice	Gem_Choice	DarkRed_Choice	Hourglass_Choice	Nail_Choice	Star_Choice	DarkRed_Choice	Stickyhand_Choice	DarkGreen_Choice	Hat_Choice	Dodecagon_Choice	Tie_Choice
Rabbit_Probe	Diamond_Probe	Acorn_Probe	LightBlue_Probe	Jellyfish_Probe	LightPurple_Probe	Sawblade_Probe	Bar_Probe	Jellyfish_Probe	DarkYellow_Probe	Heart_Probe	LightPurple_Probe	Venn_Probe	UpArrow_Probe	Tie_Probe	DarkGreen_Probe	Bell_Probe	DarkPurple_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit_Choice	Diamond_Choice	Acorn_Choice	LightBlue_Choice	Jellyfish_Choice	LightPurple_Choice	Sawblade_Choice	Bar_Choice	Jellyfish_Choice	DarkYellow_Choice	Heart_Choice	LightPurple_Choice	Venn_Choice	UpArrow_Choice	Tie_Choice	DarkGreen_Choice	Bell_Choice	DarkPurple_Choice
Star_Probe	DarkTurquiose_Probe	Venn_Probe	Heart_Probe	DarkTurquiose_Probe	Nail_Probe	Ditto_Probe	DarkRed_Probe	Sawblade_Probe	Star_Probe	LightGray_Probe	Diamond_Probe	Bell_Probe	LightGray_Probe	Bar_Probe	Bell_Probe	LightGreen_Probe	UpArrow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Star_Choice	DarkTurquiose_Choice	Venn_Choice	Heart_Choice	DarkTurquiose_Choice	Nail_Choice	Ditto_Choice	DarkRed_Choice	Sawblade_Choice	Star_Choice	LightGray_Choice	Diamond_Choice	Bell_Choice	LightGray_Choice	Bar_Choice	Bell_Choice	LightGreen_Choice	UpArrow_Choice
LightPurple_Probe	Ditto_Probe	LightBlue_Probe	Puzzle_Probe	Bar_Probe	Gem_Probe	LightGreen_Probe	Jellyfish_Probe	DarkGray_Probe	Spade_Probe	Spike_Probe	LeftArrow_Probe	DarkTurquiose_Probe	Heart_Probe	DarkTurquiose_Probe	Bar_Probe	Venn_Probe	Acorn_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple_Choice	Ditto_Choice	LightBlue_Choice	Puzzle_Choice	Bar_Choice	Gem_Choice	LightGreen_Choice	Jellyfish_Choice	DarkGray_Choice	Spade_Choice	Spike_Choice	LeftArrow_Choice	DarkTurquiose_Choice	Heart_Choice	DarkTurquiose_Choice	Bar_Choice	Venn_Choice	Acorn_Choice
UpArrow_Probe	Spike_Probe	Star_Probe	LightRed_Probe	House_Probe	LightYellow_Probe	Rabbit_Probe	Nail_Probe	House_Probe	DarkRed_Probe	Chevron_Probe	LightGray_Probe	Rabbit_Probe	Spike_Probe	Gem_Probe	DarkGray_Probe	Stickyhand_Probe	LightGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow_Choice	Spike_Choice	Star_Choice	LightRed_Choice	House_Choice	LightYellow_Choice	Rabbit_Choice	Nail_Choice	House_Choice	DarkRed_Choice	Chevron_Choice	LightGray_Choice	Rabbit_Choice	Spike_Choice	Gem_Choice	DarkGray_Choice	Stickyhand_Choice	LightGray_Choice
Tie_Probe	LightPurple_Probe	Diamond_Probe	Stickyhand_Probe	LightPurple_Probe	Rabbit_Probe	Gem_Probe	LightTurquiose_Probe	Puzzle_Probe	Pacman_Probe	DarkTurquiose_Probe	Nail_Probe	Jellyfish_Probe	DarkPurple_Probe	UpArrow_Probe	Stickyhand_Probe	LightGray_Probe	Dodecagon_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Tie_Choice	LightPurple_Choice	Diamond_Choice	Stickyhand_Choice	LightPurple_Choice	Rabbit_Choice	Gem_Choice	LightTurquiose_Choice	Puzzle_Choice	Pacman_Choice	DarkTurquiose_Choice	Nail_Choice	Jellyfish_Choice	DarkPurple_Choice	UpArrow_Choice	Stickyhand_Choice	LightGray_Choice	Dodecagon_Choice
DarkBlue_Probe	Heart_Probe	DarkGreen_Probe	Venn_Probe	Nail_Probe	Pacman_Probe	LightGray_Probe	Ditto_Probe	DarkGreen_Probe	Diamond_Probe	Diamond_Probe	Gem_Probe	DarkYellow_Probe	Tie_Probe	LightYellow_Probe	Spike_Probe	Lock_Probe	Bell_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue_Choice	Heart_Choice	DarkGreen_Choice	Venn_Choice	Nail_Choice	Pacman_Choice	LightGray_Choice	Ditto_Choice	DarkGreen_Choice	Diamond_Choice	Diamond_Choice	Gem_Choice	DarkYellow_Choice	Tie_Choice	LightYellow_Choice	Spike_Choice	Lock_Choice	Bell_Choice
Puzzle_Probe	Puzzle_Probe	Jellyfish_Probe	LightGreen_Probe	Heart_Probe	DarkPurple_Probe	Spade_Probe	UpArrow_Probe	Ditto_Probe	DarkGray_Probe	Star_Probe	DarkGreen_Probe	UpArrow_Probe	Dodecagon_Probe	House_Probe	LightGray_Probe	Acorn_Probe	DarkBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Puzzle_Choice	Puzzle_Choice	Jellyfish_Choice	LightGreen_Choice	Heart_Choice	DarkPurple_Choice	Spade_Choice	UpArrow_Choice	Ditto_Choice	DarkGray_Choice	Star_Choice	DarkGreen_Choice	UpArrow_Choice	Dodecagon_Choice	House_Choice	LightGray_Choice	Acorn_Choice	DarkBlue_Choice
