3	4	5	6
Chevron	LightTurquiose	Background	Hourglass
Chevron	LightTurquiose	Background	Hourglass
Chevron	LightTurquiose	Background	Hourglass
Chevron	LightTurquiose	Background	Hourglass
Chevron	LightTurquiose	Background	Hourglass
Background	Background	Background	Background
Background	Background	Background	Background
Chevron_Choice	LightTurquiose_Choice	Background	Hourglass_Choice
LightGreen	Background	UpArrow	Tie
LightGreen	Background	UpArrow	Tie
LightGreen	Background	UpArrow	Tie
LightGreen	Background	UpArrow	Tie
LightGreen	Background	UpArrow	Tie
Background	Background	Background	Background
Background	Background	Background	Background
LightGreen_Choice	Background	UpArrow_Choice	Tie_Choice
UpArrow	Heart	LightYellow	Background
UpArrow	Heart	LightYellow	Background
UpArrow	Heart	LightYellow	Background
UpArrow	Heart	LightYellow	Background
UpArrow	Heart	LightYellow	Background
Background	Background	Background	Background
Background	Background	Background	Background
UpArrow_Choice	Heart_Choice	LightYellow_Choice	Background
Background	Lock	Pacman	LightTurquiose
Background	Lock	Pacman	LightTurquiose
Background	Lock	Pacman	LightTurquiose
Background	Lock	Pacman	LightTurquiose
Background	Lock	Pacman	LightTurquiose
Background	Background	Background	Background
Background	Background	Background	Background
Background	Lock_Choice	Pacman_Choice	LightTurquiose_Choice
Crowbar	LightPurple	Background	Spike
Crowbar	LightPurple	Background	Spike
Crowbar	LightPurple	Background	Spike
Crowbar	LightPurple	Background	Spike
Crowbar	LightPurple	Background	Spike
Background	Background	Background	Background
Background	Background	Background	Background
Crowbar_Choice	LightPurple_Choice	Background	Spike_Choice
LightGray	Background	Venn	Pacman
LightGray	Background	Venn	Pacman
LightGray	Background	Venn	Pacman
LightGray	Background	Venn	Pacman
LightGray	Background	Venn	Pacman
Background	Background	Background	Background
Background	Background	Background	Background
LightGray_Choice	Background	Venn_Choice	Pacman_Choice
Spike	Crowbar	LightTurquiose	Background
Spike	Crowbar	LightTurquiose	Background
Spike	Crowbar	LightTurquiose	Background
Spike	Crowbar	LightTurquiose	Background
Spike	Crowbar	LightTurquiose	Background
Background	Background	Background	Background
Background	Background	Background	Background
Spike_Choice	Crowbar_Choice	LightTurquiose_Choice	Background
Background	Dodecagon	LeftArrow	DarkGreen
Background	Dodecagon	LeftArrow	DarkGreen
Background	Dodecagon	LeftArrow	DarkGreen
Background	Dodecagon	LeftArrow	DarkGreen
Background	Dodecagon	LeftArrow	DarkGreen
Background	Background	Background	Background
Background	Background	Background	Background
Background	Dodecagon_Choice	LeftArrow_Choice	DarkGreen_Choice
Acorn	DarkRed	Background	Puzzle
Acorn	DarkRed	Background	Puzzle
Acorn	DarkRed	Background	Puzzle
Acorn	DarkRed	Background	Puzzle
Acorn	DarkRed	Background	Puzzle
Background	Background	Background	Background
Background	Background	Background	Background
Acorn_Choice	DarkRed_Choice	Background	Puzzle_Choice
LightYellow	Background	Hourglass	Acorn
LightYellow	Background	Hourglass	Acorn
LightYellow	Background	Hourglass	Acorn
LightYellow	Background	Hourglass	Acorn
LightYellow	Background	Hourglass	Acorn
Background	Background	Background	Background
Background	Background	Background	Background
LightYellow_Choice	Background	Hourglass_Choice	Acorn_Choice
Bar	House	LightRed	Background
Bar	House	LightRed	Background
Bar	House	LightRed	Background
Bar	House	LightRed	Background
Bar	House	LightRed	Background
Background	Background	Background	Background
Background	Background	Background	Background
Bar_Choice	House_Choice	LightRed_Choice	Background
Background	Spade	Stickyhand	LightGreen
Background	Spade	Stickyhand	LightGreen
Background	Spade	Stickyhand	LightGreen
Background	Spade	Stickyhand	LightGreen
Background	Spade	Stickyhand	LightGreen
Background	Background	Background	Background
Background	Background	Background	Background
Background	Spade_Choice	Stickyhand_Choice	LightGreen_Choice
Jellyfish	DarkGray	Background	Nail
Jellyfish	DarkGray	Background	Nail
Jellyfish	DarkGray	Background	Nail
Jellyfish	DarkGray	Background	Nail
Jellyfish	DarkGray	Background	Nail
Background	Background	Background	Background
Background	Background	Background	Background
Jellyfish_Choice	DarkGray_Choice	Background	Nail_Choice
DarkTurquiose	Background	Sawblade	Stickyhand
DarkTurquiose	Background	Sawblade	Stickyhand
DarkTurquiose	Background	Sawblade	Stickyhand
DarkTurquiose	Background	Sawblade	Stickyhand
DarkTurquiose	Background	Sawblade	Stickyhand
Background	Background	Background	Background
Background	Background	Background	Background
DarkTurquiose_Choice	Background	Sawblade_Choice	Stickyhand_Choice
Venn	Gem	LightBlue	Background
Venn	Gem	LightBlue	Background
Venn	Gem	LightBlue	Background
Venn	Gem	LightBlue	Background
Venn	Gem	LightBlue	Background
Background	Background	Background	Background
Background	Background	Background	Background
Venn_Choice	Gem_Choice	LightBlue_Choice	Background
Background	Diamond	Jellyfish	LightYellow
Background	Diamond	Jellyfish	LightYellow
Background	Diamond	Jellyfish	LightYellow
Background	Diamond	Jellyfish	LightYellow
Background	Diamond	Jellyfish	LightYellow
Background	Background	Background	Background
Background	Background	Background	Background
Background	Diamond_Choice	Jellyfish_Choice	LightYellow_Choice
Tie	DarkGreen	Background	Hat
Tie	DarkGreen	Background	Hat
Tie	DarkGreen	Background	Hat
Tie	DarkGreen	Background	Hat
Tie	DarkGreen	Background	Hat
Background	Background	Background	Background
Background	Background	Background	Background
Tie_Choice	DarkGreen_Choice	Background	Hat_Choice
LightPurple	Background	Rabbit	Chevron
LightPurple	Background	Rabbit	Chevron
LightPurple	Background	Rabbit	Chevron
LightPurple	Background	Rabbit	Chevron
LightPurple	Background	Rabbit	Chevron
Background	Background	Background	Background
Background	Background	Background	Background
LightPurple_Choice	Background	Rabbit_Choice	Chevron_Choice
Dodecagon	Bell	DarkPurple	Background
Dodecagon	Bell	DarkPurple	Background
Dodecagon	Bell	DarkPurple	Background
Dodecagon	Bell	DarkPurple	Background
Dodecagon	Bell	DarkPurple	Background
Background	Background	Background	Background
Background	Background	Background	Background
Dodecagon_Choice	Bell_Choice	DarkPurple_Choice	Background
Background	Nail	Chevron	LightBlue
Background	Nail	Chevron	LightBlue
Background	Nail	Chevron	LightBlue
Background	Nail	Chevron	LightBlue
Background	Nail	Chevron	LightBlue
Background	Background	Background	Background
Background	Background	Background	Background
Background	Nail_Choice	Chevron_Choice	LightBlue_Choice
Stickyhand	LightGray	Background	Spade
Stickyhand	LightGray	Background	Spade
Stickyhand	LightGray	Background	Spade
Stickyhand	LightGray	Background	Spade
Stickyhand	LightGray	Background	Spade
Background	Background	Background	Background
Background	Background	Background	Background
Stickyhand_Choice	LightGray_Choice	Background	Spade_Choice
LightBlue	Background	Spike	House
LightBlue	Background	Spike	House
LightBlue	Background	Spike	House
LightBlue	Background	Spike	House
LightBlue	Background	Spike	House
Background	Background	Background	Background
Background	Background	Background	Background
LightBlue_Choice	Background	Spike_Choice	House_Choice
Lock	LeftArrow	LightPurple	Background
Lock	LeftArrow	LightPurple	Background
Lock	LeftArrow	LightPurple	Background
Lock	LeftArrow	LightPurple	Background
Lock	LeftArrow	LightPurple	Background
Background	Background	Background	Background
Background	Background	Background	Background
Lock_Choice	LeftArrow_Choice	LightPurple_Choice	Background
Background	Puzzle	Crowbar	DarkRed
Background	Puzzle	Crowbar	DarkRed
Background	Puzzle	Crowbar	DarkRed
Background	Puzzle	Crowbar	DarkRed
Background	Puzzle	Crowbar	DarkRed
Background	Background	Background	Background
Background	Background	Background	Background
Background	Puzzle_Choice	Crowbar_Choice	DarkRed_Choice
Pacman	LightYellow	Background	Rabbit
Pacman	LightYellow	Background	Rabbit
Pacman	LightYellow	Background	Rabbit
Pacman	LightYellow	Background	Rabbit
Pacman	LightYellow	Background	Rabbit
Background	Background	Background	Background
Background	Background	Background	Background
Pacman_Choice	LightYellow_Choice	Background	Rabbit_Choice
LightTurquiose	Background	Hat	Jellyfish
LightTurquiose	Background	Hat	Jellyfish
LightTurquiose	Background	Hat	Jellyfish
LightTurquiose	Background	Hat	Jellyfish
LightTurquiose	Background	Hat	Jellyfish
Background	Background	Background	Background
Background	Background	Background	Background
LightTurquiose_Choice	Background	Hat_Choice	Jellyfish_Choice
Nail	Jellyfish	DarkYellow	Background
Nail	Jellyfish	DarkYellow	Background
Nail	Jellyfish	DarkYellow	Background
Nail	Jellyfish	DarkYellow	Background
Nail	Jellyfish	DarkYellow	Background
Background	Background	Background	Background
Background	Background	Background	Background
Nail_Choice	Jellyfish_Choice	DarkYellow_Choice	Background
Background	Hourglass	Tie	DarkBlue
Background	Hourglass	Tie	DarkBlue
Background	Hourglass	Tie	DarkBlue
Background	Hourglass	Tie	DarkBlue
Background	Hourglass	Tie	DarkBlue
Background	Background	Background	Background
Background	Background	Background	Background
Background	Hourglass_Choice	Tie_Choice	DarkBlue_Choice
Gem	LightRed	Background	Lock
Gem	LightRed	Background	Lock
Gem	LightRed	Background	Lock
Gem	LightRed	Background	Lock
Gem	LightRed	Background	Lock
Background	Background	Background	Background
Background	Background	Background	Background
Gem_Choice	LightRed_Choice	Background	Lock_Choice
LightRed	Background	Lock	Ditto
LightRed	Background	Lock	Ditto
LightRed	Background	Lock	Ditto
LightRed	Background	Lock	Ditto
LightRed	Background	Lock	Ditto
Background	Background	Background	Background
Background	Background	Background	Background
LightRed_Choice	Background	Lock_Choice	Ditto_Choice
Hat	Tie	DarkBlue	Background
Hat	Tie	DarkBlue	Background
Hat	Tie	DarkBlue	Background
Hat	Tie	DarkBlue	Background
Hat	Tie	DarkBlue	Background
Background	Background	Background	Background
Background	Background	Background	Background
Hat_Choice	Tie_Choice	DarkBlue_Choice	Background
Background	Venn	Gem	DarkPurple
Background	Venn	Gem	DarkPurple
Background	Venn	Gem	DarkPurple
Background	Venn	Gem	DarkPurple
Background	Venn	Gem	DarkPurple
Background	Background	Background	Background
Background	Background	Background	Background
Background	Venn_Choice	Gem_Choice	DarkPurple_Choice
House	DarkBlue	Background	Dodecagon
House	DarkBlue	Background	Dodecagon
House	DarkBlue	Background	Dodecagon
House	DarkBlue	Background	Dodecagon
House	DarkBlue	Background	Dodecagon
Background	Background	Background	Background
Background	Background	Background	Background
House_Choice	DarkBlue_Choice	Background	Dodecagon_Choice
DarkGray	Background	Spade	Bell
DarkGray	Background	Spade	Bell
DarkGray	Background	Spade	Bell
DarkGray	Background	Spade	Bell
DarkGray	Background	Spade	Bell
Background	Background	Background	Background
Background	Background	Background	Background
DarkGray_Choice	Background	Spade_Choice	Bell_Choice
Spade	Pacman	LightGray	Background
Spade	Pacman	LightGray	Background
Spade	Pacman	LightGray	Background
Spade	Pacman	LightGray	Background
Spade	Pacman	LightGray	Background
Background	Background	Background	Background
Background	Background	Background	Background
Spade_Choice	Pacman_Choice	LightGray_Choice	Background
Background	Bar	Heart	LightPurple
Background	Bar	Heart	LightPurple
Background	Bar	Heart	LightPurple
Background	Bar	Heart	LightPurple
Background	Bar	Heart	LightPurple
Background	Background	Background	Background
Background	Background	Background	Background
Background	Bar_Choice	Heart_Choice	LightPurple_Choice
LeftArrow	LightBlue	Background	Bar
LeftArrow	LightBlue	Background	Bar
LeftArrow	LightBlue	Background	Bar
LeftArrow	LightBlue	Background	Bar
LeftArrow	LightBlue	Background	Bar
Background	Background	Background	Background
Background	Background	Background	Background
LeftArrow_Choice	LightBlue_Choice	Background	Bar_Choice
DarkGreen	Background	Diamond	Gem
DarkGreen	Background	Diamond	Gem
DarkGreen	Background	Diamond	Gem
DarkGreen	Background	Diamond	Gem
DarkGreen	Background	Diamond	Gem
Background	Background	Background	Background
Background	Background	Background	Background
DarkGreen_Choice	Background	Diamond_Choice	Gem_Choice
Puzzle	Acorn	LightGreen	Background
Puzzle	Acorn	LightGreen	Background
Puzzle	Acorn	LightGreen	Background
Puzzle	Acorn	LightGreen	Background
Puzzle	Acorn	LightGreen	Background
Background	Background	Background	Background
Background	Background	Background	Background
Puzzle_Choice	Acorn_Choice	LightGreen_Choice	Background
Background	Hat	Star	LightRed
Background	Hat	Star	LightRed
Background	Hat	Star	LightRed
Background	Hat	Star	LightRed
Background	Hat	Star	LightRed
Background	Background	Background	Background
Background	Background	Background	Background
Background	Hat_Choice	Star_Choice	LightRed_Choice
Bell	DarkYellow	Background	Venn
Bell	DarkYellow	Background	Venn
Bell	DarkYellow	Background	Venn
Bell	DarkYellow	Background	Venn
Bell	DarkYellow	Background	Venn
Background	Background	Background	Background
Background	Background	Background	Background
Bell_Choice	DarkYellow_Choice	Background	Venn_Choice
DarkPurple	Background	Bar	Crowbar
DarkPurple	Background	Bar	Crowbar
DarkPurple	Background	Bar	Crowbar
DarkPurple	Background	Bar	Crowbar
DarkPurple	Background	Bar	Crowbar
Background	Background	Background	Background
Background	Background	Background	Background
DarkPurple_Choice	Background	Bar_Choice	Crowbar_Choice
Diamond	Chevron	DarkTurquiose	Background
Diamond	Chevron	DarkTurquiose	Background
Diamond	Chevron	DarkTurquiose	Background
Diamond	Chevron	DarkTurquiose	Background
Diamond	Chevron	DarkTurquiose	Background
Background	Background	Background	Background
Background	Background	Background	Background
Diamond_Choice	Chevron_Choice	DarkTurquiose_Choice	Background
Background	Sawblade	Bell	DarkTurquiose
Background	Sawblade	Bell	DarkTurquiose
Background	Sawblade	Bell	DarkTurquiose
Background	Sawblade	Bell	DarkTurquiose
Background	Sawblade	Bell	DarkTurquiose
Background	Background	Background	Background
Background	Background	Background	Background
Background	Sawblade_Choice	Bell_Choice	DarkTurquiose_Choice
Ditto	DarkPurple	Background	UpArrow
Ditto	DarkPurple	Background	UpArrow
Ditto	DarkPurple	Background	UpArrow
Ditto	DarkPurple	Background	UpArrow
Ditto	DarkPurple	Background	UpArrow
Background	Background	Background	Background
Background	Background	Background	Background
Ditto_Choice	DarkPurple_Choice	Background	UpArrow_Choice
DarkBlue	Background	Nail	Star
DarkBlue	Background	Nail	Star
DarkBlue	Background	Nail	Star
DarkBlue	Background	Nail	Star
DarkBlue	Background	Nail	Star
Background	Background	Background	Background
Background	Background	Background	Background
DarkBlue_Choice	Background	Nail_Choice	Star_Choice
Hourglass	Star	DarkGreen	Background
Hourglass	Star	DarkGreen	Background
Hourglass	Star	DarkGreen	Background
Hourglass	Star	DarkGreen	Background
Hourglass	Star	DarkGreen	Background
Background	Background	Background	Background
Background	Background	Background	Background
Hourglass_Choice	Star_Choice	DarkGreen_Choice	Background
Background	Spike	Ditto	DarkGray
Background	Spike	Ditto	DarkGray
Background	Spike	Ditto	DarkGray
Background	Spike	Ditto	DarkGray
Background	Spike	Ditto	DarkGray
Background	Background	Background	Background
Background	Background	Background	Background
Background	Spike_Choice	Ditto_Choice	DarkGray_Choice
Star	DarkTurquiose	Background	Diamond
Star	DarkTurquiose	Background	Diamond
Star	DarkTurquiose	Background	Diamond
Star	DarkTurquiose	Background	Diamond
Star	DarkTurquiose	Background	Diamond
Background	Background	Background	Background
Background	Background	Background	Background
Star_Choice	DarkTurquiose_Choice	Background	Diamond_Choice
DarkRed	Background	Dodecagon	Heart
DarkRed	Background	Dodecagon	Heart
DarkRed	Background	Dodecagon	Heart
DarkRed	Background	Dodecagon	Heart
DarkRed	Background	Dodecagon	Heart
Background	Background	Background	Background
Background	Background	Background	Background
DarkRed_Choice	Background	Dodecagon_Choice	Heart_Choice
Rabbit	Stickyhand	DarkRed	Background
Rabbit	Stickyhand	DarkRed	Background
Rabbit	Stickyhand	DarkRed	Background
Rabbit	Stickyhand	DarkRed	Background
Rabbit	Stickyhand	DarkRed	Background
Background	Background	Background	Background
Background	Background	Background	Background
Rabbit_Choice	Stickyhand_Choice	DarkRed_Choice	Background
Background	Rabbit	House	LightGray
Background	Rabbit	House	LightGray
Background	Rabbit	House	LightGray
Background	Rabbit	House	LightGray
Background	Rabbit	House	LightGray
Background	Background	Background	Background
Background	Background	Background	Background
Background	Rabbit_Choice	House_Choice	LightGray_Choice
Heart	LightGreen	Background	Sawblade
Heart	LightGreen	Background	Sawblade
Heart	LightGreen	Background	Sawblade
Heart	LightGreen	Background	Sawblade
Heart	LightGreen	Background	Sawblade
Background	Background	Background	Background
Background	Background	Background	Background
Heart_Choice	LightGreen_Choice	Background	Sawblade_Choice
DarkYellow	Background	Puzzle	LeftArrow
DarkYellow	Background	Puzzle	LeftArrow
DarkYellow	Background	Puzzle	LeftArrow
DarkYellow	Background	Puzzle	LeftArrow
DarkYellow	Background	Puzzle	LeftArrow
Background	Background	Background	Background
Background	Background	Background	Background
DarkYellow_Choice	Background	Puzzle_Choice	LeftArrow_Choice
Sawblade	Ditto	DarkGray	Background
Sawblade	Ditto	DarkGray	Background
Sawblade	Ditto	DarkGray	Background
Sawblade	Ditto	DarkGray	Background
Sawblade	Ditto	DarkGray	Background
Background	Background	Background	Background
Background	Background	Background	Background
Sawblade_Choice	Ditto_Choice	DarkGray_Choice	Background
Background	UpArrow	Acorn	DarkYellow
Background	UpArrow	Acorn	DarkYellow
Background	UpArrow	Acorn	DarkYellow
Background	UpArrow	Acorn	DarkYellow
Background	UpArrow	Acorn	DarkYellow
Background	Background	Background	Background
Background	Background	Background	Background
Background	UpArrow_Choice	Acorn_Choice	DarkYellow_Choice
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
