2	3	4	5
LeftArrow	DarkGreen	Background	Nail
LeftArrow	DarkGreen	Background	Nail
LeftArrow	DarkGreen	Background	Nail
LeftArrow_Choice	DarkGreen_Choice	Background	Nail_Choice
DarkBlue	Background	UpArrow	House
DarkBlue	Background	UpArrow	House
DarkBlue	Background	UpArrow	House
DarkBlue	Background	UpArrow	House
DarkBlue	Background	UpArrow	House
DarkBlue_Choice	Background	UpArrow_Choice	House_Choice
Puzzle	Star	DarkPurple	Background
Puzzle	Star	DarkPurple	Background
Puzzle	Star	DarkPurple	Background
Puzzle	Star	DarkPurple	Background
Puzzle	Star	DarkPurple	Background
Puzzle_Choice	Star_Choice	DarkPurple_Choice	Background
Background	Hat	LeftArrow	DarkRed
Background	Hat	LeftArrow	DarkRed
Background	Hat	LeftArrow	DarkRed
Background	Hat	LeftArrow	DarkRed
Background	Hat	LeftArrow	DarkRed
Background	Hat_Choice	LeftArrow_Choice	DarkRed_Choice
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
