IMA1	IMA2	IMA3	IMA4
Pacman_Probe	Bell_Probe	DarkGreen_Probe	Lock_Probe
Pacman_Probe	Bell_Probe	DarkGreen_Probe	Lock_Probe
DarkGreen_Probe	LightYellow_Probe	Dodecagon_Probe	Crowbar_Probe
DarkGreen_Probe	LightYellow_Probe	Dodecagon_Probe	Crowbar_Probe
Nail_Probe	Hourglass_Probe	Acorn_Probe	DarkTurquiose_Probe
Nail_Probe	Hourglass_Probe	Acorn_Probe	DarkTurquiose_Probe
Acorn_Probe	Ditto_Probe	LightPurple_Probe	Hat_Probe
Acorn_Probe	Ditto_Probe	LightPurple_Probe	Hat_Probe
LightYellow_Probe	DarkTurquiose_Probe	Diamond_Probe	Star_Probe
LightYellow_Probe	DarkTurquiose_Probe	Diamond_Probe	Star_Probe
Rabbit_Probe	Lock_Probe	Ditto_Probe	LightYellow_Probe
Rabbit_Probe	Lock_Probe	Ditto_Probe	LightYellow_Probe
Crowbar_Probe	Stickyhand_Probe	LightGreen_Probe	Spade_Probe
Crowbar_Probe	Stickyhand_Probe	LightGreen_Probe	Spade_Probe
LightBlue_Probe	DarkRed_Probe	Rabbit_Probe	Stickyhand_Probe
LightBlue_Probe	DarkRed_Probe	Rabbit_Probe	Stickyhand_Probe
Hat_Probe	Dodecagon_Probe	Gem_Probe	LightRed_Probe
Hat_Probe	Dodecagon_Probe	Gem_Probe	LightRed_Probe
Gem_Probe	Crowbar_Probe	LightBlue_Probe	Nail_Probe
Gem_Probe	Crowbar_Probe	LightBlue_Probe	Nail_Probe
LightPurple_Probe	LightGreen_Probe	Lock_Probe	Pacman_Probe
LightPurple_Probe	LightGreen_Probe	Lock_Probe	Pacman_Probe
Sawblade_Probe	Hat_Probe	Heart_Probe	DarkGreen_Probe
Sawblade_Probe	Hat_Probe	Heart_Probe	DarkGreen_Probe
House_Probe	Jellyfish_Probe	DarkYellow_Probe	Venn_Probe
House_Probe	Jellyfish_Probe	DarkYellow_Probe	Venn_Probe
DarkBlue_Probe	LightTurquiose_Probe	Spade_Probe	Tie_Probe
DarkBlue_Probe	LightTurquiose_Probe	Spade_Probe	Tie_Probe
Venn_Probe	Bar_Probe	Stickyhand_Probe	LightBlue_Probe
Venn_Probe	Bar_Probe	Stickyhand_Probe	LightBlue_Probe
Chevron_Probe	Acorn_Probe	LightRed_Probe	Rabbit_Probe
Chevron_Probe	Acorn_Probe	LightRed_Probe	Rabbit_Probe
LightRed_Probe	DarkGreen_Probe	Spike_Probe	Jellyfish_Probe
LightRed_Probe	DarkGreen_Probe	Spike_Probe	Jellyfish_Probe
UpArrow_Probe	Puzzle_Probe	Jellyfish_Probe	LightGreen_Probe
UpArrow_Probe	Puzzle_Probe	Jellyfish_Probe	LightGreen_Probe
Jellyfish_Probe	LeftArrow_Probe	DarkGray_Probe	Puzzle_Probe
Jellyfish_Probe	LeftArrow_Probe	DarkGray_Probe	Puzzle_Probe
DarkRed_Probe	LightRed_Probe	Hourglass_Probe	Heart_Probe
DarkRed_Probe	LightRed_Probe	Hourglass_Probe	Heart_Probe
Puzzle_Probe	Spike_Probe	Chevron_Probe	LightGray_Probe
Puzzle_Probe	Spike_Probe	Chevron_Probe	LightGray_Probe
Ditto_Probe	Heart_Probe	DarkTurquiose_Probe	Dodecagon_Probe
Ditto_Probe	Heart_Probe	DarkTurquiose_Probe	Dodecagon_Probe
LightTurquiose_Probe	LightBlue_Probe	Puzzle_Probe	Ditto_Probe
LightTurquiose_Probe	LightBlue_Probe	Puzzle_Probe	Ditto_Probe
Hourglass_Probe	Venn_Probe	Tie_Probe	DarkGray_Probe
Hourglass_Probe	Venn_Probe	Tie_Probe	DarkGray_Probe
LeftArrow_Probe	Star_Probe	DarkPurple_Probe	Diamond_Probe
LeftArrow_Probe	Star_Probe	DarkPurple_Probe	Diamond_Probe
DarkPurple_Probe	LightGray_Probe	UpArrow_Probe	Bell_Probe
DarkPurple_Probe	LightGray_Probe	UpArrow_Probe	Bell_Probe
Spike_Probe	Spade_Probe	LeftArrow_Probe	DarkYellow_Probe
Spike_Probe	Spade_Probe	LeftArrow_Probe	DarkYellow_Probe
Bell_Probe	Chevron_Probe	DarkBlue_Probe	Bar_Probe
Bell_Probe	Chevron_Probe	DarkBlue_Probe	Bar_Probe
DarkGray_Probe	LightPurple_Probe	Bar_Probe	Acorn_Probe
DarkGray_Probe	LightPurple_Probe	Bar_Probe	Acorn_Probe
Spade_Probe	UpArrow_Probe	Pacman_Probe	DarkBlue_Probe
Spade_Probe	UpArrow_Probe	Pacman_Probe	DarkBlue_Probe
Star_Probe	Gem_Probe	DarkRed_Probe	Hourglass_Probe
Star_Probe	Gem_Probe	DarkRed_Probe	Hourglass_Probe
DarkTurquiose_Probe	DarkGray_Probe	Venn_Probe	Gem_Probe
DarkTurquiose_Probe	DarkGray_Probe	Venn_Probe	Gem_Probe
Diamond_Probe	Rabbit_Probe	Crowbar_Probe	DarkPurple_Probe
Diamond_Probe	Rabbit_Probe	Crowbar_Probe	DarkPurple_Probe
Tie_Probe	Pacman_Probe	LightGray_Probe	UpArrow_Probe
Tie_Probe	Pacman_Probe	LightGray_Probe	UpArrow_Probe
LightGray_Probe	DarkPurple_Probe	Sawblade_Probe	LeftArrow_Probe
LightGray_Probe	DarkPurple_Probe	Sawblade_Probe	LeftArrow_Probe
Bar_Probe	Diamond_Probe	Star_Probe	LightTurquiose_Probe
Bar_Probe	Diamond_Probe	Star_Probe	LightTurquiose_Probe
Stickyhand_Probe	Tie_Probe	LightTurquiose_Probe	Sawblade_Probe
Stickyhand_Probe	Tie_Probe	LightTurquiose_Probe	Sawblade_Probe
DarkYellow_Probe	DarkYellow_Probe	Nail_Probe	House_Probe
DarkYellow_Probe	DarkYellow_Probe	Nail_Probe	House_Probe
Lock_Probe	Nail_Probe	Bell_Probe	DarkRed_Probe
Lock_Probe	Nail_Probe	Bell_Probe	DarkRed_Probe
