IMA9	IMA10	IMA11	IMA12	IMA13	IMA1	IMA2	IMA3	IMA4	IMA6	IMA7	IMA8
Acorn_Choice	DarkRed_Choice	Star_Choice	DarkRed_Choice	Venn_Choice	Acorn_Choice	LightPurple_Choice	Ditto_Choice	DarkGray_Choice	Diamond_Choice	Spike_Choice	Diamond_Choice
LightTurquiose_Probe	Puzzle_Probe	Puzzle_Probe	Chevron_Probe	DarkYellow_Probe	DarkGreen_Probe	Diamond_Probe	Puzzle_Probe	LeftArrow_Probe	Gem_Probe	DarkTurquiose_Probe	Heart_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose_Choice	Puzzle_Choice	Puzzle_Choice	Chevron_Choice	DarkYellow_Choice	DarkGreen_Choice	Diamond_Choice	Puzzle_Choice	LeftArrow_Choice	Gem_Choice	DarkTurquiose_Choice	Heart_Choice
Lock_Probe	Gem_Probe	LightTurquiose_Probe	Sawblade_Probe	Chevron_Probe	Nail_Probe	Pacman_Probe	DarkBlue_Probe	Sawblade_Probe	DarkYellow_Probe	Gem_Probe	LightTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Lock_Choice	Gem_Choice	LightTurquiose_Choice	Sawblade_Choice	Chevron_Choice	Nail_Choice	Pacman_Choice	DarkBlue_Choice	Sawblade_Choice	DarkYellow_Choice	Gem_Choice	LightTurquiose_Choice
Heart_Probe	LightGray_Probe	LeftArrow_Probe	DarkPurple_Probe	Diamond_Probe	Chevron_Probe	DarkRed_Probe	Jellyfish_Probe	LightPurple_Probe	Sawblade_Probe	Sawblade_Probe	Nail_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Heart_Choice	LightGray_Choice	LeftArrow_Choice	DarkPurple_Choice	Diamond_Choice	Chevron_Choice	DarkRed_Choice	Jellyfish_Choice	LightPurple_Choice	Sawblade_Choice	Sawblade_Choice	Nail_Choice
DarkTurquiose_Probe	Hat_Probe	Hat_Probe	Bell_Probe	DarkPurple_Probe	DarkPurple_Probe	Hat_Probe	UpArrow_Probe	Crowbar_Probe	Heart_Probe	DarkBlue_Probe	Jellyfish_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose_Choice	Hat_Choice	Hat_Choice	Bell_Choice	DarkPurple_Choice	DarkPurple_Choice	Hat_Choice	UpArrow_Choice	Crowbar_Choice	Heart_Choice	DarkBlue_Choice	Jellyfish_Choice
Spade_Probe	Jellyfish_Probe	LightYellow_Probe	Lock_Probe	Gem_Probe	Bar_Probe	Chevron_Probe	LightYellow_Probe	Hat_Probe	LightBlue_Probe	Star_Probe	DarkGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade_Choice	Jellyfish_Choice	LightYellow_Choice	Lock_Choice	Gem_Choice	Bar_Choice	Chevron_Choice	LightYellow_Choice	Hat_Choice	LightBlue_Choice	Star_Choice	DarkGreen_Choice
Jellyfish_Probe	DarkBlue_Probe	Crowbar_Probe	LightRed_Probe	Nail_Probe	Jellyfish_Probe	LightBlue_Probe	Acorn_Probe	LightTurquiose_Probe	Puzzle_Probe	Hat_Probe	Dodecagon_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Jellyfish_Choice	DarkBlue_Choice	Crowbar_Choice	LightRed_Choice	Nail_Choice	Jellyfish_Choice	LightBlue_Choice	Acorn_Choice	LightTurquiose_Choice	Puzzle_Choice	Hat_Choice	Dodecagon_Choice
LightRed_Probe	Lock_Probe	Nail_Probe	LeftArrow_Probe	DarkRed_Probe	DarkGray_Probe	Bar_Probe	Nail_Probe	Chevron_Probe	Ditto_Probe	LightPurple_Probe	Chevron_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightRed_Choice	Lock_Choice	Nail_Choice	LeftArrow_Choice	DarkRed_Choice	DarkGray_Choice	Bar_Choice	Nail_Choice	Chevron_Choice	Ditto_Choice	LightPurple_Choice	Chevron_Choice
Bar_Probe	House_Probe	DarkRed_Probe	Diamond_Probe	Bell_Probe	Hourglass_Probe	Crowbar_Probe	DarkGray_Probe	Puzzle_Probe	DarkRed_Probe	Pacman_Probe	DarkGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar_Choice	House_Choice	DarkRed_Choice	Diamond_Choice	Bell_Choice	Hourglass_Choice	Crowbar_Choice	DarkGray_Choice	Puzzle_Choice	DarkRed_Choice	Pacman_Choice	DarkGray_Choice
Ditto_Probe	DarkYellow_Probe	Chevron_Probe	LightTurquiose_Probe	Dodecagon_Probe	Stickyhand_Probe	DarkPurple_Probe	Stickyhand_Probe	DarkBlue_Probe	Rabbit_Probe	Lock_Probe	UpArrow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Ditto_Choice	DarkYellow_Choice	Chevron_Choice	LightTurquiose_Choice	Dodecagon_Choice	Stickyhand_Choice	DarkPurple_Choice	Stickyhand_Choice	DarkBlue_Choice	Rabbit_Choice	Lock_Choice	UpArrow_Choice
DarkBlue_Probe	Hourglass_Probe	Rabbit_Probe	Jellyfish_Probe	LightRed_Probe	LightBlue_Probe	Hourglass_Probe	Sawblade_Probe	Stickyhand_Probe	Pacman_Probe	LightYellow_Probe	LeftArrow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
