IMA10	IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
Bar_Probe	LeftArrow_Probe	LightYellow_Probe	Tie_Probe	DarkGreen_Probe	Diamond_Probe	Puzzle_Probe	Bell_Probe	LightTurquiose_Probe	Tie_Probe	Star_Probe	DarkPurple_Probe	Hat_Probe	Sawblade_Probe	Stickyhand_Probe	DarkYellow_Probe	House_Probe	DarkBlue_Probe	Sawblade_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar_Choice	LeftArrow_Choice	LightYellow_Choice	Tie_Choice	DarkGreen_Choice	Diamond_Choice	Puzzle_Choice	Bell_Choice	LightTurquiose_Choice	Tie_Choice	Star_Choice	DarkPurple_Choice	Hat_Choice	Sawblade_Choice	Stickyhand_Choice	DarkYellow_Choice	House_Choice	DarkBlue_Choice	Sawblade_Choice
LightBlue_Probe	Bar_Probe	Pacman_Probe	DarkGray_Probe	Sawblade_Probe	Stickyhand_Probe	LightBlue_Probe	Hourglass_Probe	Heart_Probe	LightTurquiose_Probe	DarkYellow_Probe	Dodecagon_Probe	Chevron_Probe	DarkYellow_Probe	Sawblade_Probe	Gem_Probe	DarkGray_Probe	Puzzle_Probe	Ditto_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue_Choice	Bar_Choice	Pacman_Choice	DarkGray_Choice	Sawblade_Choice	Stickyhand_Choice	LightBlue_Choice	Hourglass_Choice	Heart_Choice	LightTurquiose_Choice	DarkYellow_Choice	Dodecagon_Choice	Chevron_Choice	DarkYellow_Choice	Sawblade_Choice	Gem_Choice	DarkGray_Choice	Puzzle_Choice	Ditto_Choice
Bell_Probe	DarkYellow_Probe	Hourglass_Probe	Spike_Probe	House_Probe	DarkBlue_Probe	Jellyfish_Probe	LightBlue_Probe	Hat_Probe	Hat_Probe	Rabbit_Probe	Star_Probe	LightPurple_Probe	LeftArrow_Probe	LightYellow_Probe	Spike_Probe	Nail_Probe	Jellyfish_Probe	DarkBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bell_Choice	DarkYellow_Choice	Hourglass_Choice	Spike_Choice	House_Choice	DarkBlue_Choice	Jellyfish_Choice	LightBlue_Choice	Hat_Choice	Hat_Choice	Rabbit_Choice	Star_Choice	LightPurple_Choice	LeftArrow_Choice	LightYellow_Choice	Spike_Choice	Nail_Choice	Jellyfish_Choice	DarkBlue_Choice
Nail_Probe	Star_Probe	DarkBlue_Probe	Stickyhand_Probe	LightBlue_Probe	Dodecagon_Probe	Venn_Probe	Star_Probe	LightGray_Probe	Bell_Probe	Acorn_Probe	LightYellow_Probe	UpArrow_Probe	Diamond_Probe	Acorn_Probe	LightGreen_Probe	Star_Probe	LightBlue_Probe	Hourglass_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail_Choice	Star_Choice	DarkBlue_Choice	Stickyhand_Choice	LightBlue_Choice	Dodecagon_Choice	Venn_Choice	Star_Choice	LightGray_Choice	Bell_Choice	Acorn_Choice	LightYellow_Choice	UpArrow_Choice	Diamond_Choice	Acorn_Choice	LightGreen_Choice	Star_Choice	LightBlue_Choice	Hourglass_Choice
DarkPurple_Probe	Sawblade_Probe	LeftArrow_Probe	DarkRed_Probe	Venn_Probe	Star_Probe	LightYellow_Probe	Puzzle_Probe	House_Probe	DarkPurple_Probe	LightRed_Probe	Puzzle_Probe	Heart_Probe	DarkGreen_Probe	Hourglass_Probe	Heart_Probe	LightBlue_Probe	Hat_Probe	Chevron_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
