IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
Jellyfish_Probe	DarkGray_Probe	Lock_Probe	UpArrow_Probe	Star_Probe	LightTurquiose_Probe	Acorn_Probe	LightBlue_Probe
Jellyfish_Probe	DarkGray_Probe	Lock_Probe	UpArrow_Probe	Star_Probe	LightTurquiose_Probe	Acorn_Probe	LightBlue_Probe
Jellyfish_Probe	DarkGray_Probe	Lock_Probe	UpArrow_Probe	Star_Probe	LightTurquiose_Probe	Acorn_Probe	LightBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Jellyfish_Choice	DarkGray_Choice	Lock_Choice	UpArrow_Choice	Star_Choice	LightTurquiose_Choice	Acorn_Choice	LightBlue_Choice
DarkPurple_Probe	Nail_Probe	Chevron_Probe	LightRed_Probe	Nail_Probe	Pacman_Probe	LightPurple_Probe	Spade_Probe
DarkPurple_Probe	Nail_Probe	Chevron_Probe	LightRed_Probe	Nail_Probe	Pacman_Probe	LightPurple_Probe	Spade_Probe
DarkPurple_Probe	Nail_Probe	Chevron_Probe	LightRed_Probe	Nail_Probe	Pacman_Probe	LightPurple_Probe	Spade_Probe
Background	Background	Background	Background	Background	Background	Background	Background
DarkPurple_Choice	Nail_Choice	Chevron_Choice	LightRed_Choice	Nail_Choice	Pacman_Choice	LightPurple_Choice	Spade_Choice
Dodecagon_Probe	Heart_Probe	DarkGray_Probe	Ditto_Probe	DarkYellow_Probe	Venn_Probe	Venn_Probe	Acorn_Probe
Dodecagon_Probe	Heart_Probe	DarkGray_Probe	Ditto_Probe	DarkYellow_Probe	Venn_Probe	Venn_Probe	Acorn_Probe
Dodecagon_Probe	Heart_Probe	DarkGray_Probe	Ditto_Probe	DarkYellow_Probe	Venn_Probe	Venn_Probe	Acorn_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon_Choice	Heart_Choice	DarkGray_Choice	Ditto_Choice	DarkYellow_Choice	Venn_Choice	Venn_Choice	Acorn_Choice
Crowbar_Probe	DarkGreen_Probe	Spade_Probe	Dodecagon_Probe	Ditto_Probe	LightYellow_Probe	Jellyfish_Probe	LightGreen_Probe
Crowbar_Probe	DarkGreen_Probe	Spade_Probe	Dodecagon_Probe	Ditto_Probe	LightYellow_Probe	Jellyfish_Probe	LightGreen_Probe
Crowbar_Probe	DarkGreen_Probe	Spade_Probe	Dodecagon_Probe	Ditto_Probe	LightYellow_Probe	Jellyfish_Probe	LightGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Crowbar_Choice	DarkGreen_Choice	Spade_Choice	Dodecagon_Choice	Ditto_Choice	LightYellow_Choice	Jellyfish_Choice	LightGreen_Choice
DarkGreen_Probe	Rabbit_Probe	Ditto_Probe	LightGreen_Probe	Bar_Probe	Stickyhand_Probe	LightGray_Probe	Hourglass_Probe
