IMA10	IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA1	IMA20	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
Diamond_Probe	Heart_Probe	DarkGreen	Jellyfish	DarkGreen	Nail_Probe	Diamond	Jellyfish	LightGreen_Probe	Ditto	House_Probe	LightPurple_Probe	LightYellow_Probe	Venn	Sawblade	Acorn_Probe	DarkYellow_Probe	Bell_Probe	LightBlue_Probe	Dodecagon_Probe
LightPurple	Hourglass_Probe	LeftArrow	LightGray	Nail	Pacman_Probe	LightBlue	Hat_Probe	Star_Probe	DarkPurple_Probe	LightPurple_Probe	Spike_Probe	Hat_Probe	Star	DarkGray	Sawblade	Crowbar	DarkGray	Spike	Jellyfish
LightPurple	Hourglass_Probe	LeftArrow	LightGray	Nail	Pacman_Probe	LightBlue	Hat_Probe	Star_Probe	DarkPurple_Probe	LightPurple_Probe	Spike_Probe	Hat_Probe	Star	DarkGray	Sawblade	Crowbar	DarkGray	Spike	Jellyfish
LightPurple	Hourglass_Probe	LeftArrow	LightGray	Nail	Pacman_Probe	LightBlue	Hat_Probe	Star_Probe	DarkPurple_Probe	LightPurple_Probe	Spike_Probe	Hat_Probe	Star	DarkGray	Sawblade	Crowbar	DarkGray	Spike	Jellyfish
Jellyfish_Probe	DarkGray	Dodecagon	Bar	Heart	LightPurple	Star_Probe	LightGreen_Probe	Spade_Probe	Spade_Probe	Spike_Probe	Bell	Tie_Probe	LightRed	House_Probe	DarkGray	Diamond	Diamond	House	DarkTurquiose
Jellyfish_Probe	DarkGray	Dodecagon	Bar	Heart	LightPurple	Star_Probe	LightGreen_Probe	Spade_Probe	Spade_Probe	Spike_Probe	Bell	Tie_Probe	LightRed	House_Probe	DarkGray	Diamond	Diamond	House	DarkTurquiose
Jellyfish_Probe	DarkGray	Dodecagon	Bar	Heart	LightPurple	Star_Probe	LightGreen_Probe	Spade_Probe	Spade_Probe	Spike_Probe	Bell	Tie_Probe	LightRed	House_Probe	DarkGray	Diamond	Diamond	House	DarkTurquiose
Spade_Probe	Stickyhand_Probe	DarkRed_Probe	Acorn_Probe	LightPurple_Probe	Diamond	Dodecagon	Acorn_Probe	DarkPurple_Probe	Acorn	Chevron_Probe	DarkRed	DarkYellow_Probe	Nail	Puzzle	Stickyhand_Probe	LightBlue	Star	DarkBlue	UpArrow_Probe
Spade_Probe	Stickyhand_Probe	DarkRed_Probe	Acorn_Probe	LightPurple_Probe	Diamond	Dodecagon	Acorn_Probe	DarkPurple_Probe	Acorn	Chevron_Probe	DarkRed	DarkYellow_Probe	Nail	Puzzle	Stickyhand_Probe	LightBlue	Star	DarkBlue	UpArrow_Probe
Spade_Probe	Stickyhand_Probe	DarkRed_Probe	Acorn_Probe	LightPurple_Probe	Diamond	Dodecagon	Acorn_Probe	DarkPurple_Probe	Acorn	Chevron_Probe	DarkRed	DarkYellow_Probe	Nail	Puzzle	Stickyhand_Probe	LightBlue	Star	DarkBlue	UpArrow_Probe
LightBlue_Probe	Spade_Probe	Chevron_Probe	DarkYellow_Probe	Venn	Star	DarkBlue_Probe	Hourglass	House	DarkBlue	DarkBlue	Hourglass	Nail_Probe	Chevron	DarkRed_Probe	Venn	House_Probe	LightYellow	Puzzle	Pacman
LightBlue_Probe	Spade_Probe	Chevron_Probe	DarkYellow_Probe	Venn	Star	DarkBlue_Probe	Hourglass	House	DarkBlue	DarkBlue	Hourglass	Nail_Probe	Chevron	DarkRed_Probe	Venn	House_Probe	LightYellow	Puzzle	Pacman
LightBlue_Probe	Spade_Probe	Chevron_Probe	DarkYellow_Probe	Venn	Star	DarkBlue_Probe	Hourglass	House	DarkBlue	DarkBlue	Hourglass	Nail_Probe	Chevron	DarkRed_Probe	Venn	House_Probe	LightYellow	Puzzle	Pacman
Tie_Probe	LightRed_Probe	Sawblade	Hat_Probe	Acorn_Probe	LightGray_Probe	Jellyfish_Probe	DarkGreen_Probe	Nail	Venn	Hourglass	Gem	Bell	DarkGray_Probe	Ditto	DarkYellow_Probe	Bar	Sawblade_Probe	Star_Probe	LightGray_Probe
Tie_Probe	LightRed_Probe	Sawblade	Hat_Probe	Acorn_Probe	LightGray_Probe	Jellyfish_Probe	DarkGreen_Probe	Nail	Venn	Hourglass	Gem	Bell	DarkGray_Probe	Ditto	DarkYellow_Probe	Bar	Sawblade_Probe	Star_Probe	LightGray_Probe
Tie_Probe	LightRed_Probe	Sawblade	Hat_Probe	Acorn_Probe	LightGray_Probe	Jellyfish_Probe	DarkGreen_Probe	Nail	Venn	Hourglass	Gem	Bell	DarkGray_Probe	Ditto	DarkYellow_Probe	Bar	Sawblade_Probe	Star_Probe	LightGray_Probe
Bar_Probe	Star	LightGreen_Probe	Ditto_Probe	DarkPurple	Puzzle	Hat	Crowbar_Probe	LightTurquiose_Probe	Tie	Heart_Probe	DarkTurquiose	LightPurple	Lock_Probe	Dodecagon_Probe	Crowbar	DarkRed_Probe	Gem_Probe	LightYellow_Probe	Rabbit
Bar_Probe	Star	LightGreen_Probe	Ditto_Probe	DarkPurple	Puzzle	Hat	Crowbar_Probe	LightTurquiose_Probe	Tie	Heart_Probe	DarkTurquiose	LightPurple	Lock_Probe	Dodecagon_Probe	Crowbar	DarkRed_Probe	Gem_Probe	LightYellow_Probe	Rabbit
Bar_Probe	Star	LightGreen_Probe	Ditto_Probe	DarkPurple	Puzzle	Hat	Crowbar_Probe	LightTurquiose_Probe	Tie	Heart_Probe	DarkTurquiose	LightPurple	Lock_Probe	Dodecagon_Probe	Crowbar	DarkRed_Probe	Gem_Probe	LightYellow_Probe	Rabbit
LightTurquiose	Nail_Probe	Stickyhand_Probe	DarkGreen	Diamond_Probe	Acorn_Probe	LightTurquiose	Dodecagon_Probe	Chevron	LightGreen_Probe	LightGreen	Lock	UpArrow	Gem_Probe	DarkGreen	Diamond_Probe	Chevron	LightRed	Hourglass	Stickyhand_Probe
LightTurquiose	Nail_Probe	Stickyhand_Probe	DarkGreen	Diamond_Probe	Acorn_Probe	LightTurquiose	Dodecagon_Probe	Chevron	LightGreen_Probe	LightGreen	Lock	UpArrow	Gem_Probe	DarkGreen	Diamond_Probe	Chevron	LightRed	Hourglass	Stickyhand_Probe
LightTurquiose	Nail_Probe	Stickyhand_Probe	DarkGreen	Diamond_Probe	Acorn_Probe	LightTurquiose	Dodecagon_Probe	Chevron	LightGreen_Probe	LightGreen	Lock	UpArrow	Gem_Probe	DarkGreen	Diamond_Probe	Chevron	LightRed	Hourglass	Stickyhand_Probe
Star	LightPurple_Probe	Spike_Probe	Rabbit	Bell	LightYellow	Heart	DarkYellow	Dodecagon_Probe	Rabbit	Puzzle	Chevron	Jellyfish_Probe	LightGray_Probe	Jellyfish_Probe	LightRed_Probe	Venn_Probe	Venn_Probe	Chevron_Probe	DarkYellow_Probe
Star	LightPurple_Probe	Spike_Probe	Rabbit	Bell	LightYellow	Heart	DarkYellow	Dodecagon_Probe	Rabbit	Puzzle	Chevron	Jellyfish_Probe	LightGray_Probe	Jellyfish_Probe	LightRed_Probe	Venn_Probe	Venn_Probe	Chevron_Probe	DarkYellow_Probe
Star	LightPurple_Probe	Spike_Probe	Rabbit	Bell	LightYellow	Heart	DarkYellow	Dodecagon_Probe	Rabbit	Puzzle	Chevron	Jellyfish_Probe	LightGray_Probe	Jellyfish_Probe	LightRed_Probe	Venn_Probe	Venn_Probe	Chevron_Probe	DarkYellow_Probe
Sawblade	Crowbar	DarkBlue	Crowbar_Probe	DarkRed	Rabbit_Probe	Spade	Star	LightBlue	Bell	Ditto	LightRed_Probe	DarkTurquiose_Probe	Sawblade_Probe	Spike	LeftArrow_Probe	DarkBlue_Probe	LeftArrow	DarkRed_Probe	Diamond_Probe
Sawblade	Crowbar	DarkBlue	Crowbar_Probe	DarkRed	Rabbit_Probe	Spade	Star	LightBlue	Bell	Ditto	LightRed_Probe	DarkTurquiose_Probe	Sawblade_Probe	Spike	LeftArrow_Probe	DarkBlue_Probe	LeftArrow	DarkRed_Probe	Diamond_Probe
Sawblade	Crowbar	DarkBlue	Crowbar_Probe	DarkRed	Rabbit_Probe	Spade	Star	LightBlue	Bell	Ditto	LightRed_Probe	DarkTurquiose_Probe	Sawblade_Probe	Spike	LeftArrow_Probe	DarkBlue_Probe	LeftArrow	DarkRed_Probe	Diamond_Probe
DarkGreen_Probe	Rabbit	Crowbar	LightTurquiose_Probe	Bar_Probe	Jellyfish	LightRed_Probe	UpArrow_Probe	Acorn	DarkGray_Probe	LightGray_Probe	Sawblade_Probe	Sawblade_Probe	Bell_Probe	LightGray	Spade_Probe	Gem_Probe	LightGray_Probe	Sawblade_Probe	Gem
DarkGreen_Probe	Rabbit	Crowbar	LightTurquiose_Probe	Bar_Probe	Jellyfish	LightRed_Probe	UpArrow_Probe	Acorn	DarkGray_Probe	LightGray_Probe	Sawblade_Probe	Sawblade_Probe	Bell_Probe	LightGray	Spade_Probe	Gem_Probe	LightGray_Probe	Sawblade_Probe	Gem
DarkGreen_Probe	Rabbit	Crowbar	LightTurquiose_Probe	Bar_Probe	Jellyfish	LightRed_Probe	UpArrow_Probe	Acorn	DarkGray_Probe	LightGray_Probe	Sawblade_Probe	Sawblade_Probe	Bell_Probe	LightGray	Spade_Probe	Gem_Probe	LightGray_Probe	Sawblade_Probe	Gem
Acorn_Probe	DarkPurple	UpArrow_Probe	Puzzle_Probe	LeftArrow_Probe	DarkGray_Probe	Bell_Probe	LightRed	Hat	Bar	Hat	Crowbar_Probe	Heart	DarkYellow_Probe	Heart_Probe	LightGray	Spade_Probe	Nail_Probe	Crowbar_Probe	LightYellow_Probe
Acorn_Probe	DarkPurple	UpArrow_Probe	Puzzle_Probe	LeftArrow_Probe	DarkGray_Probe	Bell_Probe	LightRed	Hat	Bar	Hat	Crowbar_Probe	Heart	DarkYellow_Probe	Heart_Probe	LightGray	Spade_Probe	Nail_Probe	Crowbar_Probe	LightYellow_Probe
Acorn_Probe	DarkPurple	UpArrow_Probe	Puzzle_Probe	LeftArrow_Probe	DarkGray_Probe	Bell_Probe	LightRed	Hat	Bar	Hat	Crowbar_Probe	Heart	DarkYellow_Probe	Heart_Probe	LightGray	Spade_Probe	Nail_Probe	Crowbar_Probe	LightYellow_Probe
Venn_Probe	Gem_Probe	LightGray_Probe	Bell	LightYellow_Probe	Sawblade_Probe	UpArrow	House_Probe	DarkYellow_Probe	Pacman_Probe	Jellyfish	LightBlue_Probe	LightTurquiose	Diamond_Probe	Venn_Probe	Heart	DarkTurquiose_Probe	House_Probe	LightPurple	Bar
Venn_Probe	Gem_Probe	LightGray_Probe	Bell	LightYellow_Probe	Sawblade_Probe	UpArrow	House_Probe	DarkYellow_Probe	Pacman_Probe	Jellyfish	LightBlue_Probe	LightTurquiose	Diamond_Probe	Venn_Probe	Heart	DarkTurquiose_Probe	House_Probe	LightPurple	Bar
Venn_Probe	Gem_Probe	LightGray_Probe	Bell	LightYellow_Probe	Sawblade_Probe	UpArrow	House_Probe	DarkYellow_Probe	Pacman_Probe	Jellyfish	LightBlue_Probe	LightTurquiose	Diamond_Probe	Venn_Probe	Heart	DarkTurquiose_Probe	House_Probe	LightPurple	Bar
DarkTurquiose_Probe	Sawblade	Bell_Probe	DarkRed	Spike_Probe	Ditto	DarkYellow_Probe	Sawblade_Probe	Ditto_Probe	LightRed	DarkGray	Hat_Probe	Puzzle	LeftArrow	LightGreen	Nail_Probe	Tie	LightGreen_Probe	Nail_Probe	Heart
DarkTurquiose_Probe	Sawblade	Bell_Probe	DarkRed	Spike_Probe	Ditto	DarkYellow_Probe	Sawblade_Probe	Ditto_Probe	LightRed	DarkGray	Hat_Probe	Puzzle	LeftArrow	LightGreen	Nail_Probe	Tie	LightGreen_Probe	Nail_Probe	Heart
DarkTurquiose_Probe	Sawblade	Bell_Probe	DarkRed	Spike_Probe	Ditto	DarkYellow_Probe	Sawblade_Probe	Ditto_Probe	LightRed	DarkGray	Hat_Probe	Puzzle	LeftArrow	LightGreen	Nail_Probe	Tie	LightGreen_Probe	Nail_Probe	Heart
Crowbar_Probe	LightYellow	Bar	Spike_Probe	Pacman_Probe	DarkGreen_Probe	Crowbar_Probe	DarkPurple	Diamond	Dodecagon_Probe	UpArrow	Star_Probe	Ditto_Probe	LightPurple_Probe	Star	LightYellow_Probe	UpArrow	Rabbit_Probe	LeftArrow	LightTurquiose_Probe
Crowbar_Probe	LightYellow	Bar	Spike_Probe	Pacman_Probe	DarkGreen_Probe	Crowbar_Probe	DarkPurple	Diamond	Dodecagon_Probe	UpArrow	Star_Probe	Ditto_Probe	LightPurple_Probe	Star	LightYellow_Probe	UpArrow	Rabbit_Probe	LeftArrow	LightTurquiose_Probe
Crowbar_Probe	LightYellow	Bar	Spike_Probe	Pacman_Probe	DarkGreen_Probe	Crowbar_Probe	DarkPurple	Diamond	Dodecagon_Probe	UpArrow	Star_Probe	Ditto_Probe	LightPurple_Probe	Star	LightYellow_Probe	UpArrow	Rabbit_Probe	LeftArrow	LightTurquiose_Probe
Dodecagon	Acorn_Probe	DarkTurquiose	Stickyhand_Probe	DarkBlue	Spike_Probe	Sawblade	Heart	DarkRed	Star_Probe	Tie_Probe	LightGray	DarkPurple	Dodecagon	Diamond_Probe	Chevron_Probe	DarkGreen	Chevron_Probe	DarkGreen	Hat
Dodecagon	Acorn_Probe	DarkTurquiose	Stickyhand_Probe	DarkBlue	Spike_Probe	Sawblade	Heart	DarkRed	Star_Probe	Tie_Probe	LightGray	DarkPurple	Dodecagon	Diamond_Probe	Chevron_Probe	DarkGreen	Chevron_Probe	DarkGreen	Hat
Dodecagon	Acorn_Probe	DarkTurquiose	Stickyhand_Probe	DarkBlue	Spike_Probe	Sawblade	Heart	DarkRed	Star_Probe	Tie_Probe	LightGray	DarkPurple	Dodecagon	Diamond_Probe	Chevron_Probe	DarkGreen	Chevron_Probe	DarkGreen	Hat
DarkYellow_Probe	Spike	House_Probe	LightPurple	Spade_Probe	Crowbar_Probe	DarkGray	Spike	Stickyhand	LightPurple_Probe	LightBlue	Rabbit	Rabbit_Probe	Stickyhand	LightTurquiose_Probe	Rabbit	Acorn_Probe	DarkRed	Dodecagon	Ditto
DarkYellow_Probe	Spike	House_Probe	LightPurple	Spade_Probe	Crowbar_Probe	DarkGray	Spike	Stickyhand	LightPurple_Probe	LightBlue	Rabbit	Rabbit_Probe	Stickyhand	LightTurquiose_Probe	Rabbit	Acorn_Probe	DarkRed	Dodecagon	Ditto
DarkYellow_Probe	Spike	House_Probe	LightPurple	Spade_Probe	Crowbar_Probe	DarkGray	Spike	Stickyhand	LightPurple_Probe	LightBlue	Rabbit	Rabbit_Probe	Stickyhand	LightTurquiose_Probe	Rabbit	Acorn_Probe	DarkRed	Dodecagon	Ditto
LeftArrow_Probe	LightBlue	Hourglass	Dodecagon_Probe	Gem	LightTurquiose_Probe	Tie_Probe	DarkTurquiose	Bar	Hourglass_Probe	Diamond	Tie_Probe	Chevron_Probe	DarkPurple_Probe	Crowbar_Probe	DarkRed	Nail	Dodecagon	Stickyhand_Probe	DarkGray
LeftArrow_Probe	LightBlue	Hourglass	Dodecagon_Probe	Gem	LightTurquiose_Probe	Tie_Probe	DarkTurquiose	Bar	Hourglass_Probe	Diamond	Tie_Probe	Chevron_Probe	DarkPurple_Probe	Crowbar_Probe	DarkRed	Nail	Dodecagon	Stickyhand_Probe	DarkGray
LeftArrow_Probe	LightBlue	Hourglass	Dodecagon_Probe	Gem	LightTurquiose_Probe	Tie_Probe	DarkTurquiose	Bar	Hourglass_Probe	Diamond	Tie_Probe	Chevron_Probe	DarkPurple_Probe	Crowbar_Probe	DarkRed	Nail	Dodecagon	Stickyhand_Probe	DarkGray
UpArrow_Probe	House_Probe	LightTurquiose	LeftArrow	DarkGray_Probe	Dodecagon	Hourglass_Probe	Stickyhand_Probe	LightYellow	Crowbar	Star	DarkBlue_Probe	DarkBlue	Spike	Bar	House	DarkGray_Probe	Jellyfish	LightRed	Spade_Probe
UpArrow_Probe	House_Probe	LightTurquiose	LeftArrow	DarkGray_Probe	Dodecagon	Hourglass_Probe	Stickyhand_Probe	LightYellow	Crowbar	Star	DarkBlue_Probe	DarkBlue	Spike	Bar	House	DarkGray_Probe	Jellyfish	LightRed	Spade_Probe
UpArrow_Probe	House_Probe	LightTurquiose	LeftArrow	DarkGray_Probe	Dodecagon	Hourglass_Probe	Stickyhand_Probe	LightYellow	Crowbar	Star	DarkBlue_Probe	DarkBlue	Spike	Bar	House	DarkGray_Probe	Jellyfish	LightRed	Spade_Probe
DarkPurple	Dodecagon_Probe	Heart	LightRed_Probe	Sawblade	Bell_Probe	LightYellow	Spade_Probe	Crowbar_Probe	LightTurquiose	LightTurquiose_Probe	Diamond	Dodecagon	Crowbar	LightYellow	Hourglass_Probe	Heart	DarkPurple_Probe	Spade	Bell_Probe
DarkPurple	Dodecagon_Probe	Heart	LightRed_Probe	Sawblade	Bell_Probe	LightYellow	Spade_Probe	Crowbar_Probe	LightTurquiose	LightTurquiose_Probe	Diamond	Dodecagon	Crowbar	LightYellow	Hourglass_Probe	Heart	DarkPurple_Probe	Spade	Bell_Probe
DarkPurple	Dodecagon_Probe	Heart	LightRed_Probe	Sawblade	Bell_Probe	LightYellow	Spade_Probe	Crowbar_Probe	LightTurquiose	LightTurquiose_Probe	Diamond	Dodecagon	Crowbar	LightYellow	Hourglass_Probe	Heart	DarkPurple_Probe	Spade	Bell_Probe
House	DarkGreen_Probe	Diamond_Probe	Lock_Probe	Stickyhand_Probe	LightGreen	Ditto_Probe	LightBlue	Spike	Puzzle	Lock_Probe	Heart_Probe	Crowbar	DarkTurquiose	Tie_Probe	DarkGreen	Hourglass_Probe	Spade_Probe	Jellyfish_Probe	DarkPurple
House	DarkGreen_Probe	Diamond_Probe	Lock_Probe	Stickyhand_Probe	LightGreen	Ditto_Probe	LightBlue	Spike	Puzzle	Lock_Probe	Heart_Probe	Crowbar	DarkTurquiose	Tie_Probe	DarkGreen	Hourglass_Probe	Spade_Probe	Jellyfish_Probe	DarkPurple
