IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Spade_Probe	Acorn	DarkGray	Heart	LightYellow	Hat	Dodecagon	Star	DarkGreen	House	Tie	DarkGray	Diamond	Spade	Ditto_Probe	LightPurple	Jellyfish	DarkBlue_Probe	Hat	DarkTurquiose	Lock	Hat	Stickyhand	DarkGray	House	DarkGreen	Spike
Spade_Probe	Acorn	DarkGray	Heart	LightYellow	Hat	Dodecagon	Star	DarkGreen	House	Tie	DarkGray	Diamond	Spade	Ditto_Probe	LightPurple	Jellyfish	DarkBlue_Probe	Hat	DarkTurquiose	Lock	Hat	Stickyhand	DarkGray	House	DarkGreen	Spike
Spade_Probe	Acorn	DarkGray	Heart	LightYellow	Hat	Dodecagon	Star	DarkGreen	House	Tie	DarkGray	Diamond	Spade	Ditto_Probe	LightPurple	Jellyfish	DarkBlue_Probe	Hat	DarkTurquiose	Lock	Hat	Stickyhand	DarkGray	House	DarkGreen	Spike
Spade_Probe	Acorn	DarkGray	Heart	LightYellow	Hat	Dodecagon	Star	DarkGreen	House	Tie	DarkGray	Diamond	Spade	Ditto_Probe	LightPurple	Jellyfish	DarkBlue_Probe	Hat	DarkTurquiose	Lock	Hat	Stickyhand	DarkGray	House	DarkGreen	Spike
Spade_Probe	Acorn	DarkGray	Heart	LightYellow	Hat	Dodecagon	Star	DarkGreen	House	Tie	DarkGray	Diamond	Spade	Ditto_Probe	LightPurple	Jellyfish	DarkBlue_Probe	Hat	DarkTurquiose	Lock	Hat	Stickyhand	DarkGray	House	DarkGreen	Spike
Spade_Probe	Acorn	DarkGray	Heart	LightYellow	Hat	Dodecagon	Star	DarkGreen	House	Tie	DarkGray	Diamond	Spade	Ditto_Probe	LightPurple	Jellyfish	DarkBlue_Probe	Hat	DarkTurquiose	Lock	Hat	Stickyhand	DarkGray	House	DarkGreen	Spike
Spade_Probe	Acorn	DarkGray	Heart	LightYellow	Hat	Dodecagon	Star	DarkGreen	House	Tie	DarkGray	Diamond	Spade	Ditto_Probe	LightPurple	Jellyfish	DarkBlue_Probe	Hat	DarkTurquiose	Lock	Hat	Stickyhand	DarkGray	House	DarkGreen	Spike
Spade_Probe	Acorn	DarkGray	Heart	LightYellow	Hat	Dodecagon	Star	DarkGreen	House	Tie	DarkGray	Diamond	Spade	Ditto_Probe	LightPurple	Jellyfish	DarkBlue_Probe	Hat	DarkTurquiose	Lock	Hat	Stickyhand	DarkGray	House	DarkGreen	Spike
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Ditto_Choice	Background	Background	DarkBlue_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkPurple	Diamond	Crowbar	LightGray_Probe	Dodecagon_Probe	Gem_Probe	LightPurple	Rabbit	Jellyfish	LightTurquiose_Probe	LightRed	Spade_Probe	Gem_Probe	LightBlue	Sawblade	Gem	LightTurquiose	Lock	Heart	UpArrow	Pacman_Probe	LightGray_Probe	Hat	Crowbar	LightGreen_Probe	Sawblade	Gem
DarkPurple	Diamond	Crowbar	LightGray_Probe	Dodecagon_Probe	Gem_Probe	LightPurple	Rabbit	Jellyfish	LightTurquiose_Probe	LightRed	Spade_Probe	Gem_Probe	LightBlue	Sawblade	Gem	LightTurquiose	Lock	Heart	UpArrow	Pacman_Probe	LightGray_Probe	Hat	Crowbar	LightGreen_Probe	Sawblade	Gem
DarkPurple	Diamond	Crowbar	LightGray_Probe	Dodecagon_Probe	Gem_Probe	LightPurple	Rabbit	Jellyfish	LightTurquiose_Probe	LightRed	Spade_Probe	Gem_Probe	LightBlue	Sawblade	Gem	LightTurquiose	Lock	Heart	UpArrow	Pacman_Probe	LightGray_Probe	Hat	Crowbar	LightGreen_Probe	Sawblade	Gem
DarkPurple	Diamond	Crowbar	LightGray_Probe	Dodecagon_Probe	Gem_Probe	LightPurple	Rabbit	Jellyfish	LightTurquiose_Probe	LightRed	Spade_Probe	Gem_Probe	LightBlue	Sawblade	Gem	LightTurquiose	Lock	Heart	UpArrow	Pacman_Probe	LightGray_Probe	Hat	Crowbar	LightGreen_Probe	Sawblade	Gem
DarkPurple	Diamond	Crowbar	LightGray_Probe	Dodecagon_Probe	Gem_Probe	LightPurple	Rabbit	Jellyfish	LightTurquiose_Probe	LightRed	Spade_Probe	Gem_Probe	LightBlue	Sawblade	Gem	LightTurquiose	Lock	Heart	UpArrow	Pacman_Probe	LightGray_Probe	Hat	Crowbar	LightGreen_Probe	Sawblade	Gem
DarkPurple	Diamond	Crowbar	LightGray_Probe	Dodecagon_Probe	Gem_Probe	LightPurple	Rabbit	Jellyfish	LightTurquiose_Probe	LightRed	Spade_Probe	Gem_Probe	LightBlue	Sawblade	Gem	LightTurquiose	Lock	Heart	UpArrow	Pacman_Probe	LightGray_Probe	Hat	Crowbar	LightGreen_Probe	Sawblade	Gem
DarkPurple	Diamond	Crowbar	LightGray_Probe	Dodecagon_Probe	Gem_Probe	LightPurple	Rabbit	Jellyfish	LightTurquiose_Probe	LightRed	Spade_Probe	Gem_Probe	LightBlue	Sawblade	Gem	LightTurquiose	Lock	Heart	UpArrow	Pacman_Probe	LightGray_Probe	Hat	Crowbar	LightGreen_Probe	Sawblade	Gem
DarkPurple	Diamond	Crowbar	LightGray_Probe	Dodecagon_Probe	Gem_Probe	LightPurple	Rabbit	Jellyfish	LightTurquiose_Probe	LightRed	Spade_Probe	Gem_Probe	LightBlue	Sawblade	Gem	LightTurquiose	Lock	Heart	UpArrow	Pacman_Probe	LightGray_Probe	Hat	Crowbar	LightGreen_Probe	Sawblade	Gem
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	LightGray_Choice	Dodecagon_Choice	Gem_Choice	Background	Background	Background	LightTurquiose_Choice	Background	Spade_Choice	Gem_Choice	Background	Background	Background	Background	Background	Background	Background	Pacman_Choice	LightGray_Choice	Background	Background	LightGreen_Choice	Background	Background
Pacman	DarkPurple_Probe	Lock	UpArrow_Probe	Chevron	LightPurple	Crowbar	LightRed	Puzzle	Lock	Venn	LeftArrow	LightBlue	Tie_Probe	LightPurple	Lock	Dodecagon	Crowbar	DarkBlue_Probe	Gem	DarkYellow	Jellyfish_Probe	LightBlue	Venn_Probe	Hat	Ditto	DarkBlue
Pacman	DarkPurple_Probe	Lock	UpArrow_Probe	Chevron	LightPurple	Crowbar	LightRed	Puzzle	Lock	Venn	LeftArrow	LightBlue	Tie_Probe	LightPurple	Lock	Dodecagon	Crowbar	DarkBlue_Probe	Gem	DarkYellow	Jellyfish_Probe	LightBlue	Venn_Probe	Hat	Ditto	DarkBlue
Pacman	DarkPurple_Probe	Lock	UpArrow_Probe	Chevron	LightPurple	Crowbar	LightRed	Puzzle	Lock	Venn	LeftArrow	LightBlue	Tie_Probe	LightPurple	Lock	Dodecagon	Crowbar	DarkBlue_Probe	Gem	DarkYellow	Jellyfish_Probe	LightBlue	Venn_Probe	Hat	Ditto	DarkBlue
Pacman	DarkPurple_Probe	Lock	UpArrow_Probe	Chevron	LightPurple	Crowbar	LightRed	Puzzle	Lock	Venn	LeftArrow	LightBlue	Tie_Probe	LightPurple	Lock	Dodecagon	Crowbar	DarkBlue_Probe	Gem	DarkYellow	Jellyfish_Probe	LightBlue	Venn_Probe	Hat	Ditto	DarkBlue
Pacman	DarkPurple_Probe	Lock	UpArrow_Probe	Chevron	LightPurple	Crowbar	LightRed	Puzzle	Lock	Venn	LeftArrow	LightBlue	Tie_Probe	LightPurple	Lock	Dodecagon	Crowbar	DarkBlue_Probe	Gem	DarkYellow	Jellyfish_Probe	LightBlue	Venn_Probe	Hat	Ditto	DarkBlue
Pacman	DarkPurple_Probe	Lock	UpArrow_Probe	Chevron	LightPurple	Crowbar	LightRed	Puzzle	Lock	Venn	LeftArrow	LightBlue	Tie_Probe	LightPurple	Lock	Dodecagon	Crowbar	DarkBlue_Probe	Gem	DarkYellow	Jellyfish_Probe	LightBlue	Venn_Probe	Hat	Ditto	DarkBlue
Pacman	DarkPurple_Probe	Lock	UpArrow_Probe	Chevron	LightPurple	Crowbar	LightRed	Puzzle	Lock	Venn	LeftArrow	LightBlue	Tie_Probe	LightPurple	Lock	Dodecagon	Crowbar	DarkBlue_Probe	Gem	DarkYellow	Jellyfish_Probe	LightBlue	Venn_Probe	Hat	Ditto	DarkBlue
