68.1,62.3,92.4
162,111,111
47.4,34.4,33.8
122,117,32.9
35.4,35.4,10.5
74.2,110,59.4
30.6,40.6,21.1
72,102,190
26.7,36.5,53.8
114,96.1,321
40,36.5,88.4
170,106,274
52.8,37,74.5
116,107,151
39,37.2,44.1
