IMA12	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	IMA11
Dodecagon_Probe	Pacman_Probe	LightBlue_Probe	Dodecagon_Probe	Lock_Probe	Acorn_Probe	LightTurquiose_Probe	Jellyfish_Probe	LightGray_Probe	Spade_Probe
Dodecagon_Probe	Pacman_Probe	LightBlue_Probe	Dodecagon_Probe	Lock_Probe	Acorn_Probe	LightTurquiose_Probe	Jellyfish_Probe	LightGray_Probe	Spade_Probe
Dodecagon_Probe	Pacman_Probe	LightBlue_Probe	Dodecagon_Probe	Lock_Probe	Acorn_Probe	LightTurquiose_Probe	Jellyfish_Probe	LightGray_Probe	Spade_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon_Choice	Pacman_Choice	LightBlue_Choice	Dodecagon_Choice	Lock_Choice	Acorn_Choice	LightTurquiose_Choice	Jellyfish_Choice	LightGray_Choice	Spade_Choice
DarkYellow_Probe	DarkPurple_Probe	Diamond_Probe	Bell_Probe	LightYellow_Probe	Dodecagon_Probe	Stickyhand_Probe	LightTurquiose_Probe	Bar_Probe	House_Probe
DarkYellow_Probe	DarkPurple_Probe	Diamond_Probe	Bell_Probe	LightYellow_Probe	Dodecagon_Probe	Stickyhand_Probe	LightTurquiose_Probe	Bar_Probe	House_Probe
DarkYellow_Probe	DarkPurple_Probe	Diamond_Probe	Bell_Probe	LightYellow_Probe	Dodecagon_Probe	Stickyhand_Probe	LightTurquiose_Probe	Bar_Probe	House_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkYellow_Choice	DarkPurple_Choice	Diamond_Choice	Bell_Choice	LightYellow_Choice	Dodecagon_Choice	Stickyhand_Choice	LightTurquiose_Choice	Bar_Choice	House_Choice
Heart_Probe	UpArrow_Probe	Bell_Probe	LightGreen_Probe	Star_Probe	LightYellow_Probe	Rabbit_Probe	Spike_Probe	House_Probe	LightGreen_Probe
Heart_Probe	UpArrow_Probe	Bell_Probe	LightGreen_Probe	Star_Probe	LightYellow_Probe	Rabbit_Probe	Spike_Probe	House_Probe	LightGreen_Probe
Heart_Probe	UpArrow_Probe	Bell_Probe	LightGreen_Probe	Star_Probe	LightYellow_Probe	Rabbit_Probe	Spike_Probe	House_Probe	LightGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Heart_Choice	UpArrow_Choice	Bell_Choice	LightGreen_Choice	Star_Choice	LightYellow_Choice	Rabbit_Choice	Spike_Choice	House_Choice	LightGreen_Choice
Spade_Probe	Gem_Probe	DarkGray_Probe	Rabbit_Probe	Hourglass_Probe	Gem_Probe	DarkGreen_Probe	Acorn_Probe	LightYellow_Probe	Bar_Probe
Spade_Probe	Gem_Probe	DarkGray_Probe	Rabbit_Probe	Hourglass_Probe	Gem_Probe	DarkGreen_Probe	Acorn_Probe	LightYellow_Probe	Bar_Probe
Spade_Probe	Gem_Probe	DarkGray_Probe	Rabbit_Probe	Hourglass_Probe	Gem_Probe	DarkGreen_Probe	Acorn_Probe	LightYellow_Probe	Bar_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade_Choice	Gem_Choice	DarkGray_Choice	Rabbit_Choice	Hourglass_Choice	Gem_Choice	DarkGreen_Choice	Acorn_Choice	LightYellow_Choice	Bar_Choice
DarkTurquiose_Probe	LightTurquiose_Probe	Spade_Probe	Tie_Probe	LightTurquiose_Probe	Sawblade_Probe	Jellyfish_Probe	DarkRed_Probe	Spike_Probe	Tie_Probe
DarkTurquiose_Probe	LightTurquiose_Probe	Spade_Probe	Tie_Probe	LightTurquiose_Probe	Sawblade_Probe	Jellyfish_Probe	DarkRed_Probe	Spike_Probe	Tie_Probe
DarkTurquiose_Probe	LightTurquiose_Probe	Spade_Probe	Tie_Probe	LightTurquiose_Probe	Sawblade_Probe	Jellyfish_Probe	DarkRed_Probe	Spike_Probe	Tie_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose_Choice	LightTurquiose_Choice	Spade_Choice	Tie_Choice	LightTurquiose_Choice	Sawblade_Choice	Jellyfish_Choice	DarkRed_Choice	Spike_Choice	Tie_Choice
Stickyhand_Probe	Rabbit_Probe	LeftArrow_Probe	LightTurquiose_Probe	House_Probe	DarkPurple_Probe	Hat_Probe	Lock_Probe	Stickyhand_Probe	LightRed_Probe
Stickyhand_Probe	Rabbit_Probe	LeftArrow_Probe	LightTurquiose_Probe	House_Probe	DarkPurple_Probe	Hat_Probe	Lock_Probe	Stickyhand_Probe	LightRed_Probe
Stickyhand_Probe	Rabbit_Probe	LeftArrow_Probe	LightTurquiose_Probe	House_Probe	DarkPurple_Probe	Hat_Probe	Lock_Probe	Stickyhand_Probe	LightRed_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
